"Density","Energy","Grid_Velocity:0","Grid_Velocity:1","Grid_Velocity:2","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","Points:0","Points:1","Points:2"
0.00034547,1066.1,-0.0045412,0,1.0797,0.092829,-0.027198,-0.031765,0.0048946,425.43,-0.3347,717.42,1.3134,1.6,0.004262
0.00033499,1051.1,-0.0056805,0,1.0745,0.10543,-0.032984,-0.032306,0.0060739,419.15,-0.35896,729.15,1.3085,1.6,0.0053312
0.00032904,1042.2,-0.0063042,0,1.0717,0.11233,-0.036129,-0.032615,0.0067267,415.41,-0.3734,735.5,1.3058,1.6,0.0059166
0.00032492,1040.8,-0.0068431,0,1.0692,0.1177,-0.038322,-0.032972,0.007086,414.69,-0.37615,743.84,1.3034,1.6,0.0064224
0.00054096,1744.6,0.004859,0,1.0797,0.14035,0.097234,-0.024056,-0.017908,694,0.70224,747.4,1.3133,1.6,-0.0045602
0.00052988,1687.2,0.0037439,0,1.0732,0.15194,0.10347,-0.020971,-0.017882,670.55,0.61168,737.18,1.3072,1.6,-0.0035137
0.00052703,1672.4,0.0034645,0,1.0716,0.15489,0.10505,-0.020205,-0.017871,664.51,0.58837,734.56,1.3057,1.6,-0.0032515
0.000524,1660,0.0032537,0,1.0702,0.15577,0.10509,-0.019674,-0.017383,659.5,0.56903,733.2,1.3044,1.6,-0.0030536
0.00050856,1597.7,0.0021637,0,1.063,0.15964,0.10488,-0.016911,-0.015099,634.56,0.47274,726.93,1.2976,1.6,-0.0020306
0.00050076,1570.4,0.0015508,0,1.0583,0.1581,0.10243,-0.01562,-0.014025,623.8,0.4312,725.71,1.2932,1.6,-0.0014555
0.00049109,1536.2,0.00077793,0,1.0522,0.15621,0.09945,-0.013963,-0.012416,610.32,0.37915,724.04,1.2875,1.6,-0.0007301
0.00047187,1471.9,-0.00044964,0,1.04,0.14848,0.091221,-0.011316,-0.0088604,585.14,0.28192,722.42,1.276,1.6,0.00042199
0.00046768,1457.8,-0.00071457,0,1.0373,0.14685,0.089455,-0.010762,-0.0080906,579.62,0.26061,722.03,1.2735,1.6,0.00067063
0.00046415,1446.3,-0.00087937,0,1.0349,0.14539,0.087975,-0.01044,-0.0075419,575.1,0.24317,721.83,1.2713,1.6,0.0008253
0.00044405,1380.4,-0.0018193,0,1.021,0.13706,0.079509,-0.0085563,-0.0043981,549.25,0.14338,720.61,1.2582,1.6,0.0017075
0.00042455,1318.7,-0.0023734,0,1.0059,0.12912,0.07176,-0.0072642,-0.0012023,525.02,0.049807,720.45,1.2441,1.6,0.0022274
0.00042332,1314.7,-0.0024089,0,1.0049,0.12864,0.071285,-0.0071733,-0.0010242,523.47,0.043819,720.41,1.2431,1.6,0.0022608
0.00041024,1273.3,-0.0024659,0,0.98683,0.12515,0.067246,-0.0062867,0.00090402,507.11,-0.019356,720.15,1.2262,1.6,0.0023143
0.00040626,1261,-0.0024681,0,0.98202,0.12389,0.065918,-0.0060107,0.0016291,502.23,-0.038169,720.22,1.2216,1.6,0.0023163
0.00040164,1247.5,-0.002095,0,0.97225,0.12211,0.064222,-0.0056573,0.0029348,496.94,-0.058622,720.83,1.2125,1.6,0.0019662
0.00039272,1222,-0.0013241,0,0.95205,0.11853,0.060863,-0.0049707,0.0056498,486.88,-0.097435,722.26,1.1935,1.6,0.0012427
0.00039291,1233.9,0.00018534,0,0.93317,0.1164,0.05984,-0.0046612,0.0076085,491.68,-0.078909,729.03,1.1758,1.6,-0.00017394
0.0003928,1241.7,0.0013209,0,0.91898,0.11477,0.059015,-0.0043726,0.0090892,494.87,-0.066618,733.96,1.1625,1.6,-0.0012397
0.00082244,1993.3,-0.0043547,0,-0.31952,0.22536,0.023643,0.028917,0.20949,785.24,1.0545,556.19,0.00012846,1.6,0.004087
0.00081534,1979.3,-0.0060347,0,-0.31938,0.27572,0.036522,0.028449,0.25519,775.22,1.0158,553.91,0.00025596,1.6,0.0056637
0.00084502,2040.4,0.0021845,0,-0.31959,0.077775,-0.0039131,0.030523,0.06716,814.43,1.1672,561.49,6.2474e-05,1.6,-0.0020502
0.00085112,2054.4,0.0099725,0,-0.31831,0.056039,0.010207,0.031399,-0.044514,821.04,1.1927,561.99,0.0012596,1.6,-0.0093593
0.00085018,2052.1,0.005955,0,-0.3191,0.052195,-0.00047414,0.031103,0.010061,820.19,1.1895,562.04,0.00052268,1.6,-0.0055888
0.00084973,2050.9,0.0038801,0,-0.3195,0.050142,-0.0059927,0.030877,0.038237,819.8,1.1879,562.06,0.00014198,1.6,-0.0036416
0.00040197,1299,0.0042261,0,0.89532,0.1144,0.060667,-0.0039871,0.01064,517.71,0.021599,750.05,1.1403,1.6,-0.0039663
0.00040857,1339.9,0.0063358,0,0.87786,0.11377,0.06165,-0.0037104,0.011798,534.01,0.084519,761.44,1.1239,1.6,-0.0059462
