"Density","Energy","Grid_Velocity:0","Grid_Velocity:1","Grid_Velocity:2","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","Points:0","Points:1","Points:2"
0.00040452,1315.8,-0.0038075,0,-0.63038,0.084565,-0.029622,-0.034868,0.0057406,525.29,0.050832,756.5,1.3133,1.6,-0.0061206
0.00039797,1317.9,-0.0031111,0,-0.62734,0.096111,-0.036381,-0.036325,0.007022,525.8,0.052824,769.82,1.3085,1.6,-0.0050012
0.00039422,1318.3,-0.0027299,0,-0.62567,0.10241,-0.040051,-0.03713,0.0077095,525.8,0.052799,777.03,1.3058,1.6,-0.0043883
0.00039043,1318.6,-0.0024003,0,-0.62422,0.10786,-0.04278,-0.037926,0.0081703,525.72,0.052522,784.68,1.3034,1.6,-0.0038585
0.00038201,1322.9,-0.0015863,0,-0.62063,0.12208,-0.049817,-0.040281,0.0096607,526.98,0.057368,803.68,1.2977,1.6,-0.00255
0.00037297,1330.9,-0.00076213,0,-0.61695,0.13701,-0.056404,-0.043472,0.01061,529.56,0.06735,827.46,1.2918,1.6,-0.0012251
0.00036766,1338.5,-0.00020509,0,-0.61446,0.14698,-0.060834,-0.045638,0.011446,532.18,0.077466,843.26,1.2878,1.6,-0.00032968
0.00036379,1352.8,0.00035562,0,-0.61192,0.15594,-0.064895,-0.047773,0.012444,537.41,0.097657,861.14,1.2837,1.6,0.00057166
0.00035377,1384.4,0.0016824,0,-0.6059,0.17861,-0.074749,-0.053492,0.014845,548.86,0.14184,903.84,1.274,1.6,0.0027045
0.00034638,1430.7,0.0032547,0,-0.59862,0.19854,-0.084142,-0.058787,0.016885,566.02,0.20809,952.28,1.2623,1.6,0.0052319
0.00034445,1444.9,0.0037059,0,-0.59652,0.20437,-0.086868,-0.060433,0.0175,571.27,0.22839,966.23,1.2589,1.6,0.0059573
0.00034323,1458,0.0041562,0,-0.59438,0.20828,-0.088839,-0.061649,0.017882,576.19,0.24736,978.15,1.2555,1.6,0.0066812
0.00046912,1367.8,-0.0059582,0,-0.60714,0.18447,0.10938,-0.0064599,-0.010033,541.96,0.11519,673,1.276,1.6,-0.0095779
0.00047072,1376.1,-0.0057878,0,-0.6056,0.18344,0.10939,-0.0060973,-0.0093616,545.3,0.12809,674.88,1.2735,1.6,-0.0093039
0.00047242,1385.4,-0.005677,0,-0.60418,0.18215,0.10922,-0.005927,-0.0087716,549.06,0.14261,677.05,1.2712,1.6,-0.0091258
0.00048179,1437.1,-0.0050452,0,-0.59608,0.17472,0.10808,-0.0049246,-0.0053872,569.97,0.22334,689.21,1.2582,1.6,-0.0081102
0.00049421,1505.3,-0.0046314,0,-0.58726,0.16709,0.10729,-0.004469,-0.0026691,597.45,0.32945,704.25,1.244,1.6,-0.007445
0.00049498,1509.6,-0.0046046,0,-0.58667,0.16661,0.10724,-0.004433,-0.002445,599.2,0.3362,705.24,1.2431,1.6,-0.007402
0.00050669,1579.6,-0.0044633,0,-0.57613,0.16092,0.10719,-0.0040775,0.0022558,627.3,0.44469,721.15,1.2261,1.6,-0.0071747
0.00051017,1599.2,-0.0044332,0,-0.57332,0.15922,0.10712,-0.0039632,0.0031988,635.18,0.47512,725.33,1.2216,1.6,-0.0071264
0.00051594,1634.1,-0.0045926,0,-0.56761,0.15635,0.10685,-0.0037889,0.0040004,649.2,0.52927,732.89,1.2124,1.6,-0.0073826
0.00052813,1707.2,-0.0049218,0,-0.55581,0.15058,0.10645,-0.0034882,0.0056414,678.56,0.64262,748.53,1.1935,1.6,-0.0079118
0.00053285,1743.5,-0.0056901,0,-0.54479,0.14793,0.10605,-0.0031462,0.0072969,693.17,0.69903,757.79,1.1757,1.6,-0.0091469
0.00081934,1987.7,0.0044535,0,0.18651,0.24217,0.027426,0.028328,0.22428,781.33,1.0394,555.51,0.00018607,1.6,0.0071591
0.00084397,2039,0.00063636,0,0.18659,0.093614,-0.0045673,0.029904,0.084974,813.26,1.1627,561.38,5.7212e-05,1.6,0.001023
0.00084601,2043.8,-0.0056271,0,0.18534,0.088259,0.025931,0.030901,-0.073815,815.4,1.171,561.51,0.002067,1.6,-0.0090456
0.00085254,2058.3,-0.0039179,0,0.18589,0.039118,0.0045378,0.030782,-0.023122,822.96,1.2001,562.37,0.0011793,1.6,-0.0062981
0.0008504,2053.4,-0.0015678,0,0.18632,0.056912,-0.003577,0.03049,0.029957,820.58,1.1909,562.15,0.00048114,1.6,-0.0025203
0.00084934,2051,-0.00035407,0,0.18655,0.066174,-0.0077696,0.030257,0.057359,819.4,1.1864,562.04,0.00012041,1.6,-0.00056917
0.00040516,1314.4,-0.0039016,0,-0.63079,0.08308,-0.028532,-0.034686,0.0055335,524.73,0.048701,754.55,1.314,1.6,-0.0062719
0.0003419,1471.9,0.0046481,0,-0.59205,0.21288,-0.091021,-0.063187,0.018323,581.36,0.26734,990.88,1.2517,1.6,0.0074719
0.00046685,1355.7,-0.0062208,0,-0.60952,0.18614,0.10945,-0.0070494,-0.011082,537.06,0.0963,670.15,1.2798,1.6,-0.01
0.00053644,1770,-0.0062208,0,-0.53717,0.14604,0.1058,-0.0028621,0.0084133,703.81,0.74008,764.34,1.1635,1.6,-0.01
0.00082905,2006.6,0.0031848,0,0.18662,0.17615,0.0092312,0.028863,0.16533,795.15,1.0928,558.74,0,1.6,0.0051196
0.00081933,1987.6,0.0044555,0,0.18651,0.24227,0.027455,0.028327,0.22437,781.31,1.0393,555.51,0.00018636,1.6,0.0071623
0.00083911,2028.1,0.001534,0,0.18662,0.11838,-0.0016633,0.02954,0.11001,807.71,1.1413,560.78,-6.7763e-21,1.6,0.0024659
0.00084585,2043.4,-0.0056681,0,0.18532,0.089446,0.026445,0.0309,-0.075031,815.22,1.1703,561.48,0.0020883,1.6,-0.0091115
0.00030741,872.03,-0.010757,0,-0.64273,0.053334,0.0035573,-0.018652,0.0038618,348.53,-0.6316,660.33,1.3332,1.6,-0.017291
0.00033318,949.23,-0.012048,0,-0.64271,0.055748,0.011963,-0.019233,0.0060729,379.36,-0.51256,663.34,1.3332,1.6,-0.019368
0.0003345,958.24,-0.0066884,0,-0.64279,0.063457,0.0091701,-0.023272,-0.0098121,382.86,-0.49905,666.81,1.3333,1.6,-0.010752
0.00032135,916.7,-0.0074335,0,-0.64278,0.059926,0.005612,-0.022001,-0.0067358,366.3,-0.56299,663.81,1.3333,1.6,-0.011949
0.00028961,818,-0.0094764,0,-0.64275,0.051728,-0.0026073,-0.018572,0.0012029,326.95,-0.71492,657.7,1.3332,1.6,-0.015233
0.00035153,1020,-0.0065124,0,-0.64203,0.061881,0.0074782,-0.025063,-0.0064669,407.58,-0.40363,674.63,1.3321,1.6,-0.010469
0.00038949,1157.8,-0.006117,0,-0.64033,0.058701,0.0031823,-0.029288,0.0010712,462.68,-0.19087,692.06,1.3293,1.6,-0.0098331
0.00040188,1218.4,-0.0057688,0,-0.63884,0.060321,-0.0032818,-0.030816,0.0017486,486.85,-0.097574,705.42,1.3269,1.6,-0.0092734
0.00041222,1267.4,-0.0055073,0,-0.63772,0.061552,-0.0085744,-0.032047,0.0025703,506.42,-0.021991,715.72,1.3251,1.6,-0.008853
0.0004121,1280.5,-0.0052422,0,-0.63658,0.064448,-0.012151,-0.032454,0.0028114,511.6,-0.0020122,723.25,1.3233,1.6,-0.0084269
0.00041165,1301.9,-0.0048024,0,-0.63469,0.069377,-0.018158,-0.033155,0.0036025,520.04,0.030593,735.98,1.3203,1.6,-0.0077199
0.00040823,1307.4,-0.0043532,0,-0.63274,0.075956,-0.023303,-0.033811,0.0045398,522.09,0.038475,745.16,1.3171,1.6,-0.0069978
0.00037588,1075.9,-0.011741,0,-0.64145,0.071542,0.024789,-0.02081,-0.0048077,429.7,-0.31823,665.75,1.3311,1.6,-0.018875
0.0004165,1196.8,-0.011448,0,-0.64025,0.086852,0.037048,-0.022307,-0.0152,477.72,-0.1328,668.22,1.3292,1.6,-0.018403
0.00042841,1234.3,-0.011122,0,-0.63886,0.095998,0.044699,-0.022102,-0.015234,492.44,-0.075972,669.62,1.327,1.6,-0.017879
0.00043556,1257.8,-0.010888,0,-0.63785,0.10264,0.050161,-0.021856,-0.015114,501.66,-0.040392,671,1.3254,1.6,-0.017503
0.00043326,1250.8,-0.010418,0,-0.63572,0.12093,0.061309,-0.019837,-0.015613,498.26,-0.053512,669.99,1.3219,1.6,-0.016747
0.00043175,1246.9,-0.010217,0,-0.63481,0.12867,0.066024,-0.018949,-0.015712,496.46,-0.060473,669.89,1.3205,1.6,-0.016424
0.00043172,1246.5,-0.010172,0,-0.6346,0.13047,0.067102,-0.018789,-0.015801,496.24,-0.061324,669.65,1.3201,1.6,-0.016351
0.00043206,1245.7,-0.010087,0,-0.63418,0.13365,0.068969,-0.018456,-0.015922,495.8,-0.063026,668.53,1.3195,1.6,-0.016215
0.0004354,1239.4,-0.0092948,0,-0.63028,0.16302,0.086302,-0.015282,-0.017021,492.1,-0.077301,658.45,1.3132,1.6,-0.014942
