"Density","Momentum:0","Momentum:1","Momentum:2","Energy","Grid_Velocity:0","Grid_Velocity:1","Grid_Velocity:2","Pressure","Temperature","Mach","Pressure_Coefficient","Points:0","Points:1","Points:2"
0.00043675,0.0061526,-0.02887,0.0067317,1460.9,0.007144,0,1.101,583.9,778.03,0.053618,0.27715,1.3333,1.6,-0.0067048
0.00047621,0.018875,-0.030256,0.010308,1616.2,0.0093568,0,1.101,645.89,790.16,0.056569,0.51647,1.3333,1.6,-0.0087815
0.00042441,0.0028747,-0.031441,0.0035375,1368.4,0.00017533,0,1.101,546.87,750.68,0.055733,0.13416,1.3333,1.6,-0.00016455
0.0004191,0.0016364,-0.030595,0.0029366,1357.2,0.0014517,0,1.101,542.41,754.1,0.054639,0.11696,1.3333,1.6,-0.0013625
0.00040684,-0.0026377,-0.028176,0.0030635,1338,0.0049512,0,1.101,534.78,765.8,0.051671,0.087495,1.3333,1.6,-0.0046467
0.00042431,0.0014505,-0.032028,0.003336,1358.6,-0.00011276,0,1.0997,542.95,745.47,0.0569,0.11904,1.3321,1.6,0.00010583
0.00042413,-0.0017938,-0.033438,0.0028585,1336.4,-0.00076016,0,1.0968,534.04,733.56,0.05968,0.084623,1.3294,1.6,0.00071342
0.00040853,-0.0059007,-0.03302,0.0025579,1273.5,-0.0013304,0,1.0943,508.85,725.4,0.062865,-0.012615,1.327,1.6,0.0012486
0.00039754,-0.0092186,-0.032804,0.0021755,1227.9,-0.0017587,0,1.0923,490.58,718.92,0.065349,-0.083179,1.3252,1.6,0.0016505
0.00038643,-0.012013,-0.03237,0.0026118,1189.9,-0.0021927,0,1.0904,475.35,716.54,0.068818,-0.14197,1.3233,1.6,0.0020579
0.00036896,-0.016899,-0.031787,0.0031954,1130.5,-0.0029128,0,1.0871,451.51,712.93,0.074842,-0.23401,1.3203,1.6,0.0027337
0.00035824,-0.021519,-0.031754,0.0039546,1100.9,-0.003648,0,1.0838,439.5,714.8,0.082843,-0.28039,1.3172,1.6,0.0034237
0.00034547,-0.027198,-0.031765,0.0048946,1066.1,-0.0045412,0,1.0797,425.43,717.42,0.092829,-0.3347,1.3134,1.6,0.004262
0.00033499,-0.032984,-0.032306,0.0060739,1051.1,-0.0056805,0,1.0745,419.15,729.15,0.10543,-0.35896,1.3085,1.6,0.0053312
0.00032904,-0.036129,-0.032615,0.0067267,1042.2,-0.0063042,0,1.0717,415.41,735.5,0.11233,-0.3734,1.3058,1.6,0.0059166
0.00032492,-0.038322,-0.032972,0.007086,1040.8,-0.0068431,0,1.0692,414.69,743.84,0.1177,-0.37615,1.3034,1.6,0.0064224
0.00031597,-0.043976,-0.034003,0.008308,1043.5,-0.0081743,0,1.063,415.39,765.88,0.13115,-0.37348,1.2976,1.6,0.0076717
0.00030568,-0.049052,-0.035168,0.0086077,1044.9,-0.0095214,0,1.0567,415.5,792.37,0.14477,-0.37305,1.2917,1.6,0.008936
