"Density","Momentum:0","Momentum:1","Momentum:2","Energy","Grid_Velocity:0","Grid_Velocity:1","Grid_Velocity:2","Pressure","Temperature","Mach","Pressure_Coefficient","Points:0","Points:1","Points:2"
0.00019243,-0.056022,-0.040142,0.0064463,902.72,0.034841,0,-0.21137,356.11,1077.7,0.22328,-0.60236,0.84079,1.6,0.089142
0.0004198,0.6029,0.012174,0.039692,1112.9,0.035296,0,-0.015703,271.18,376.33,1.5138,-0.93026,0.34018,1.6,0.090306
0.00041799,0.60143,0.012303,0.032979,1109.2,0.035997,0,-0.027374,270.02,376.35,1.5156,-0.93475,0.37004,1.6,0.0921
0.00017386,-0.067103,-0.041921,0.0071287,747.53,0.027063,0,-0.28685,291.75,978.44,0.2982,-0.85084,1.0339,1.6,0.069243
0.00020536,-0.079687,-0.049568,0.010637,917.57,0.025531,0,-0.29859,358.34,1014.4,0.29451,-0.59375,1.064,1.6,0.065322
0.00041444,0.59554,0.012102,0.028343,1101.9,0.036462,0,-0.036466,269.16,378.37,1.509,-0.93805,0.3933,1.6,0.093289
0.00040256,0.57277,0.010988,0.022161,1077.3,0.037087,0,-0.051261,267.62,387.38,1.4761,-0.94398,0.43115,1.6,0.094887
0.00039379,0.55542,0.010055,0.019181,1058.6,0.037366,0,-0.058899,266.53,394.39,1.4499,-0.9482,0.4507,1.6,0.095602
0.00036389,0.49553,0.0069755,0.012454,994.74,0.037858,0,-0.075394,262.79,421.09,1.3542,-0.96264,0.4929,1.6,0.09686
0.00035126,0.46982,0.0055636,0.010152,967.35,0.037991,0,-0.081006,261.15,433.44,1.3109,-0.96897,0.50726,1.6,0.097201
0.00030323,0.37055,0.00032705,0.0039198,865.4,0.038256,0,-0.097777,255.47,491.9,1.1237,-0.99089,0.55017,1.6,0.09788
0.00028977,0.34191,-0.0013136,0.0025841,837.04,0.038298,0,-0.10217,254.04,511.39,1.0641,-0.99645,0.56141,1.6,0.097986
0.00023817,0.2286,-0.0077125,-0.00062553,734.74,0.038338,0,-0.11846,249.7,612.81,0.79046,-1.0132,0.60308,1.6,0.098089
0.00022728,0.20343,-0.0092964,-0.0010337,714.25,0.038325,0,-0.1222,249.05,639.14,0.7225,-1.0157,0.61264,1.6,0.098055
0.00018876,0.10868,-0.015375,-0.0013811,651.96,0.038169,0,-0.13794,247.66,766.44,0.42736,-1.021,0.65293,1.6,0.097656
0.00018189,0.090822,-0.016648,-0.0013283,641.71,0.038115,0,-0.14132,247.16,792.04,0.36786,-1.023,0.66157,1.6,0.097519
0.00015816,0.028601,-0.020997,-0.00099265,609.04,0.037772,0,-0.1565,241.78,891.79,0.15599,-1.0438,0.70042,1.6,0.096641
0.00015414,0.018351,-0.021746,-0.00094409,602.66,0.03768,0,-0.15961,239.95,906.97,0.12831,-1.0508,0.70838,1.6,0.096405
0.00014344,-0.013038,-0.024369,-0.00053971,591.15,0.037136,0,-0.17402,235.32,956.06,0.13131,-1.0687,0.74524,1.6,0.095014
0.00014255,-0.01768,-0.024907,-0.00038349,592.37,0.037012,0,-0.17677,235.62,963,0.14108,-1.0675,0.75227,1.6,0.094695
0.00015289,-0.035768,-0.029467,0.00149,668.24,0.036273,0,-0.19056,264.46,1007.3,0.1948,-0.95618,0.78756,1.6,0.092806
0.00016588,-0.059629,-0.038705,0.0035075,743,0.030725,0,-0.25572,291.09,1022.7,0.27379,-0.85338,0.95426,1.6,0.078611
0.00015579,-0.038251,-0.030395,0.0018307,685.5,0.036147,0,-0.19268,271.13,1014,0.20096,-0.93045,0.79297,1.6,0.092483
0.0001883,-0.053882,-0.038893,0.0060205,877.4,0.035101,0,-0.20811,346.23,1070.9,0.22083,-0.6405,0.83246,1.6,0.089808
0.00018955,-0.054415,-0.039226,0.006184,884.55,0.035062,0,-0.20866,349.03,1072.8,0.22134,-0.62967,0.83386,1.6,0.089706
0.00021846,-0.084473,-0.052888,0.012154,986.2,0.024931,0,-0.30314,385.25,1028,0.29263,-0.48985,1.0756,1.6,0.063786
0.00035275,0.019158,-0.010663,-0.0029852,1062.4,0.0049893,0,-0.40306,424.63,701.06,0.050379,-0.33781,1.3312,1.6,0.012765
0.00038433,0.028236,-0.010736,-0.010406,1161.4,0.0051502,0,-0.4023,464.04,703.41,0.063947,-0.18563,1.3293,1.6,0.013177
0.00039452,0.034941,-0.010313,-0.010144,1196.3,0.0053282,0,-0.40141,477.79,705.52,0.073634,-0.13255,1.327,1.6,0.013632
0.00040095,0.039741,-0.0099822,-0.009886,1219.4,0.0054556,0,-0.40078,486.89,707.45,0.080632,-0.097415,1.3254,1.6,0.013958
0.00040303,0.04926,-0.0086415,-0.0099586,1230.1,0.0057098,0,-0.39943,490.72,709.35,0.096982,-0.082609,1.322,1.6,0.014609
0.00040361,0.053314,-0.0080608,-0.009918,1234.3,0.0058186,0,-0.39886,492.22,710.5,0.10395,-0.076818,1.3205,1.6,0.014887
0.00040391,0.054233,-0.0079474,-0.0099514,1235.4,0.0058431,0,-0.39872,492.64,710.56,0.10555,-0.07523,1.3201,1.6,0.01495
0.00040482,0.055751,-0.007731,-0.010027,1237.9,0.0058883,0,-0.39846,493.54,710.26,0.10809,-0.071743,1.3195,1.6,0.015065
0.00041354,0.069777,-0.0056695,-0.010714,1261.7,0.0063105,0,-0.39599,502.25,707.56,0.13135,-0.038106,1.3132,1.6,0.016145
0.00042358,0.078022,-0.004163,-0.01073,1296.8,0.0066709,0,-0.39361,515.78,709.39,0.14254,0.014146,1.3071,1.6,0.017068
0.00042608,0.08011,-0.0038142,-0.010733,1305.7,0.0067612,0,-0.39301,519.19,709.89,0.1454,0.027286,1.3055,1.6,0.017299
0.00042778,0.080924,-0.0036036,-0.010582,1313.6,0.0068281,0,-0.39251,522.31,711.31,0.14606,0.039349,1.3042,1.6,0.01747
0.00043637,0.084639,-0.0024891,-0.0095753,1354.2,0.0071739,0,-0.38986,538.33,718.72,0.1486,0.10121,1.2975,1.6,0.018355
0.00043989,0.084091,-0.0021548,-0.0081657,1375.5,0.0073633,0,-0.38812,546.97,724.36,0.14568,0.13454,1.293,1.6,0.018839
0.00044393,0.083326,-0.0015705,-0.0064716,1400.6,0.0076015,0,-0.3859,557.07,731.07,0.14208,0.17356,1.2873,1.6,0.019449
0.00045111,0.078843,-0.00042629,-0.0041757,1449.6,0.0079598,0,-0.3814,577.07,745.2,0.13086,0.25075,1.2758,1.6,0.020366
0.00045271,0.077883,-0.00023793,-0.0036822,1460.5,0.0080372,0,-0.38043,581.52,748.35,0.12843,0.26795,1.2733,1.6,0.020563
0.00045419,0.076874,-0.00013896,-0.003261,1471,0.0080794,0,-0.37953,585.8,751.33,0.12615,0.28447,1.271,1.6,0.020671
0.00046268,0.071142,0.00059542,-0.0008667,1530.4,0.0083201,0,-0.37443,609.98,768.07,0.11319,0.37784,1.258,1.6,0.021287
0.00047303,0.065482,0.00091616,0.00064429,1600.4,0.00841,0,-0.36889,638.34,786.15,0.10075,0.48733,1.2438,1.6,0.021517
0.00047366,0.065109,0.00094287,0.00078856,1604.8,0.0084155,0,-0.36852,640.14,787.35,0.099951,0.49429,1.2429,1.6,0.021531
0.00048216,0.059619,0.00084318,0.0038307,1672.4,0.008301,0,-0.36189,667.48,806.4,0.089106,0.59982,1.2259,1.6,0.021238
0.00048498,0.058211,0.00089198,0.0043133,1691.9,0.0082657,0,-0.36013,675.34,811.26,0.086213,0.63017,1.2214,1.6,0.021148
0.00048946,0.056034,0.00096583,0.0042364,1725,0.0080556,0,-0.35655,688.7,819.57,0.081944,0.68175,1.2122,1.6,0.020611
0.00049893,0.05155,0.00095665,0.0040646,1794.3,0.0076215,0,-0.34915,716.64,836.8,0.073099,0.78965,1.1933,1.6,0.0195
0.0005004,0.049335,0.00095751,0.0040898,1817.9,0.0069265,0,-0.34223,726.19,845.44,0.069442,0.82652,1.1756,1.6,0.017722
0.00050182,0.04768,0.00097884,0.0040768,1837,0.0064036,0,-0.33704,733.87,851.99,0.06666,0.85618,1.1623,1.6,0.016384
0.00084243,-0.0019866,0.029771,0.089534,2034.6,-0.0019118,0,0.11728,811.73,561.35,0.096461,1.1568,-6.451e-05,1.6,-0.0048913
0.00083135,0.016302,0.02899,0.1724,2012.4,-0.00079783,0,0.11721,796.53,558.16,0.18387,1.0981,0.00010755,1.6,-0.0020413
0.00059199,0.49101,0.020637,0.44138,1534.3,0.010776,0,0.11131,465.92,458.78,1.0627,-0.17837,0.015217,1.6,0.027571
0.00056455,0.4765,0.019607,0.39418,1459.4,0.011235,0,0.1108,448.14,462.45,1.0396,-0.24704,0.016517,1.6,0.028744
0.00073096,0.36397,0.025173,0.58761,1858.3,0.0067741,0,0.11468,611.52,487.25,0.87686,0.38379,0.0065889,1.6,0.017332
0.00072299,0.40686,0.024993,0.60624,1850.4,0.0073612,0,0.11432,592.5,477.44,0.94334,0.31036,0.0075018,1.6,0.018834
0.00070657,0.44451,0.024543,0.59861,1818.3,0.0079839,0,0.11386,569.04,468.97,0.99756,0.21977,0.0086763,1.6,0.020427
0.00075699,0.22584,0.025744,0.5019,1884.2,0.0047316,0,0.11578,673.49,518.32,0.65215,0.62306,0.0037786,1.6,0.012106
0.00074989,0.26514,0.025573,0.53101,1877.7,0.0053323,0,0.11548,656,509.55,0.71795,0.55552,0.0045481,1.6,0.013643
0.00076635,0.1907,0.026065,0.46694,1897.8,0.0040913,0,0.11604,691.58,525.64,0.58835,0.69289,0.0031206,1.6,0.010468
0.00080426,0.079221,0.027396,0.33399,1962.1,0.0017343,0,0.11682,755.34,547.15,0.37339,0.93904,0.0011089,1.6,0.0044373
0.00079141,0.11269,0.026911,0.378,1938.9,0.0025003,0,0.11659,735.05,540.99,0.44026,0.86073,0.0016982,1.6,0.0063972
0.00066255,0.49963,0.023242,0.55419,1719.5,0.0093466,0,0.11274,519.16,456.37,1.0779,0.027169,0.01154,1.6,0.023914
0.00063323,0.51301,0.022213,0.51234,1647,0.010089,0,0.11207,492.61,453.21,1.0977,-0.075331,0.013269,1.6,0.025814
0.0008162,0.049097,0.028073,0.26798,1983.7,0.00064162,0,0.11702,774.03,552.42,0.29296,1.0112,0.00059184,1.6,0.0016416
0.00074121,0.31312,0.025364,0.56658,1869.8,0.0060662,0,0.11511,634.66,498.83,0.7983,0.47311,0.0054881,1.6,0.015521
0.00068886,0.48837,0.024071,0.59227,1784.9,0.0086826,0,0.11335,542.69,458.96,1.0616,0.11802,0.0099941,1.6,0.022215
0.00077763,0.14861,0.026406,0.42521,1914.1,0.0033223,0,0.11634,713.3,534.39,0.51203,0.77673,0.0023305,1.6,0.0085003
0.00082523,0.026429,0.028549,0.21832,2000.1,-0.00018069,0,0.11718,788.13,556.39,0.2324,1.0656,0.00020281,1.6,-0.0004623
0.00084883,-0.00051358,0.030552,0.023158,2049.1,-0.0031965,0,0.11719,818.8,561.98,0.053539,1.1841,0.00016699,1.6,-0.0081785
0.00075093,0.25826,0.02864,-0.27647,1839.6,-0.012733,0,0.11281,697.5,541.13,0.44307,0.71575,0.011374,1.6,-0.032577
0.00076201,0.24641,0.029122,-0.28179,1865.5,-0.012303,0,0.11318,709.09,542.1,0.43233,0.76048,0.010429,1.6,-0.031476
0.00077977,0.2274,0.029806,-0.29018,1906.9,-0.011607,0,0.11378,727.66,543.66,0.41499,0.8322,0.0089022,1.6,-0.029697
0.00079379,0.20073,0.030481,-0.28607,1937.9,-0.010857,0,0.11431,744.01,546.02,0.3865,0.89532,0.0075271,1.6,-0.027777
0.00080812,0.16393,0.030993,-0.26893,1968.2,-0.0099158,0,0.11493,762.18,549.44,0.34152,0.96547,0.0059567,1.6,-0.02537
0.00081787,0.12995,0.031188,-0.24479,1987.4,-0.0091153,0,0.1154,775.93,552.71,0.29589,1.0186,0.0047452,1.6,-0.023322
0.00082765,0.094356,0.031367,-0.2032,2006.6,-0.0082411,0,0.11582,789.79,555.91,0.23736,1.0721,0.0036805,1.6,-0.021085
0.00083913,0.055899,0.031431,-0.14872,2029.9,-0.0071059,0,0.11628,805.21,559.02,0.16748,1.1316,0.0024847,1.6,-0.018181
0.00084881,0.026026,0.031346,-0.097311,2050.4,-0.0060432,0,0.11666,817.52,561.11,0.10704,1.1791,0.0015132,1.6,-0.015462
0.00085085,0.0089979,0.031067,-0.039022,2054.2,-0.0045757,0,0.11698,820.61,561.88,0.058093,1.191,0.0006994,1.6,-0.011707
0.00080225,0.1845,0.030795,-0.28356,1956.6,-0.0104,0,0.11464,753.88,547.46,0.36917,0.93343,0.0066891,1.6,-0.026608
