"Density","Momentum:0","Momentum:1","Momentum:2","Energy","Grid_Velocity:0","Grid_Velocity:1","Grid_Velocity:2","Pressure","Temperature","Mach","Pressure_Coefficient","Points:0","Points:1","Points:2"
0.00030741,0.0035573,-0.018652,0.0038618,872.03,-0.010757,0,-0.64273,348.53,660.33,0.053334,-0.6316,1.3332,1.6,-0.017291
0.00033318,0.011963,-0.019233,0.0060729,949.23,-0.012048,0,-0.64271,379.36,663.34,0.055748,-0.51256,1.3332,1.6,-0.019368
0.0003345,0.0091701,-0.023272,-0.0098121,958.24,-0.0066884,0,-0.64279,382.86,666.81,0.063457,-0.49905,1.3333,1.6,-0.010752
0.00032135,0.005612,-0.022001,-0.0067358,916.7,-0.0074335,0,-0.64278,366.3,663.81,0.059926,-0.56299,1.3333,1.6,-0.011949
0.00028961,-0.0026073,-0.018572,0.0012029,818,-0.0094764,0,-0.64275,326.95,657.7,0.051728,-0.71492,1.3332,1.6,-0.015233
0.00035153,0.0074782,-0.025063,-0.0064669,1020,-0.0065124,0,-0.64203,407.58,674.63,0.061881,-0.40363,1.3321,1.6,-0.010469
0.00038949,0.0031823,-0.029288,0.0010712,1157.8,-0.006117,0,-0.64033,462.68,692.06,0.058701,-0.19087,1.3293,1.6,-0.0098331
0.00040188,-0.0032818,-0.030816,0.0017486,1218.4,-0.0057688,0,-0.63884,486.85,705.42,0.060321,-0.097574,1.3269,1.6,-0.0092734
0.00041222,-0.0085744,-0.032047,0.0025703,1267.4,-0.0055073,0,-0.63772,506.42,715.72,0.061552,-0.021991,1.3251,1.6,-0.008853
0.0004121,-0.012151,-0.032454,0.0028114,1280.5,-0.0052422,0,-0.63658,511.6,723.25,0.064448,-0.0020122,1.3233,1.6,-0.0084269
0.00041165,-0.018158,-0.033155,0.0036025,1301.9,-0.0048024,0,-0.63469,520.04,735.98,0.069377,0.030593,1.3203,1.6,-0.0077199
0.00040823,-0.023303,-0.033811,0.0045398,1307.4,-0.0043532,0,-0.63274,522.09,745.16,0.075956,0.038475,1.3171,1.6,-0.0069978
0.00040452,-0.029622,-0.034868,0.0057406,1315.8,-0.0038075,0,-0.63038,525.29,756.5,0.084565,0.050832,1.3133,1.6,-0.0061206
0.00039797,-0.036381,-0.036325,0.007022,1317.9,-0.0031111,0,-0.62734,525.8,769.82,0.096111,0.052824,1.3085,1.6,-0.0050012
0.00039422,-0.040051,-0.03713,0.0077095,1318.3,-0.0027299,0,-0.62567,525.8,777.03,0.10241,0.052799,1.3058,1.6,-0.0043883
0.00039043,-0.04278,-0.037926,0.0081703,1318.6,-0.0024003,0,-0.62422,525.72,784.68,0.10786,0.052522,1.3034,1.6,-0.0038585
0.00038201,-0.049817,-0.040281,0.0096607,1322.9,-0.0015863,0,-0.62063,526.98,803.68,0.12208,0.057368,1.2977,1.6,-0.00255
0.00037297,-0.056404,-0.043472,0.01061,1330.9,-0.00076213,0,-0.61695,529.56,827.46,0.13701,0.06735,1.2918,1.6,-0.0012251
0.00036766,-0.060834,-0.045638,0.011446,1338.5,-0.00020509,0,-0.61446,532.18,843.26,0.14698,0.077466,1.2878,1.6,-0.00032968
0.00036379,-0.064895,-0.047773,0.012444,1352.8,0.00035562,0,-0.61192,537.41,861.14,0.15594,0.097657,1.2837,1.6,0.00057166
0.00035377,-0.074749,-0.053492,0.014845,1384.4,0.0016824,0,-0.6059,548.86,903.84,0.17861,0.14184,1.274,1.6,0.0027045
0.00034638,-0.084142,-0.058787,0.016885,1430.7,0.0032547,0,-0.59862,566.02,952.28,0.19854,0.20809,1.2623,1.6,0.0052319
0.00034445,-0.086868,-0.060433,0.0175,1444.9,0.0037059,0,-0.59652,571.27,966.23,0.20437,0.22839,1.2589,1.6,0.0059573
0.00034323,-0.088839,-0.061649,0.017882,1458,0.0041562,0,-0.59438,576.19,978.15,0.20828,0.24736,1.2555,1.6,0.0066812
0.00033858,-0.096423,-0.066997,0.019415,1506.4,0.0058663,0,-0.58627,594.18,1022.4,0.22427,0.31682,1.2424,1.6,0.0094302
0.00033444,-0.10025,-0.070368,0.020337,1533.9,0.0074783,0,-0.57836,604.31,1053,0.23341,0.35594,1.2297,1.6,0.012021
0.00033164,-0.10305,-0.072941,0.020912,1554.2,0.0085999,0,-0.57287,611.8,1074.8,0.24016,0.38486,1.2209,1.6,0.013824
0.00032981,-0.1039,-0.074051,0.021153,1558.6,0.0093907,0,-0.56886,613.28,1083.4,0.24311,0.39057,1.2145,1.6,0.015096
0.00032042,-0.10544,-0.076805,0.021761,1554.7,0.012092,0,-0.55499,610.95,1111,0.2527,0.38157,1.1921,1.6,0.019439
0.00031394,-0.10492,-0.076637,0.021802,1532.7,0.013655,0,-0.54671,602.01,1117.1,0.25622,0.34706,1.1788,1.6,0.02195
0.00029919,-0.10196,-0.075301,0.020825,1464.8,0.016245,0,-0.53273,574.86,1119.6,0.26197,0.24225,1.1564,1.6,0.026114
0.00027801,-0.096475,-0.070781,0.019585,1350.1,0.019324,0,-0.51557,529.47,1109.2,0.26716,0.066991,1.1288,1.6,0.031064
0.00015375,-0.055269,-0.039476,0.0061901,673.66,0.032915,0,-0.43243,263.41,998.2,0.28644,-0.96024,0.99513,1.6,0.052911
0.00015598,-0.056155,-0.040059,0.0065253,684.2,0.032544,0,-0.43486,267.52,998.9,0.28664,-0.94437,0.99905,1.6,0.052315
0.00020039,-0.063991,-0.04819,0.0089514,1028.1,0.042652,0,-0.35992,404.77,1176.8,0.23922,-0.41447,0.87858,1.6,0.068563
0.00019634,-0.063377,-0.047513,0.0082965,1001.6,0.041972,0,-0.36551,394.16,1169.2,0.2423,-0.45544,0.88756,1.6,0.06747
0.00026834,-0.093624,-0.068723,0.01889,1295.6,0.020553,0,-0.50865,507.93,1102.9,0.26951,-0.016159,1.1177,1.6,0.033039
0.00015371,-0.055039,-0.039382,0.005855,678.33,0.033512,0,-0.42827,265.33,1005.7,0.28434,-0.95286,0.98845,1.6,0.053871
0.00024469,-0.08619,-0.062903,0.01654,1161.2,0.022976,0,-0.49446,454.96,1081.5,0.27415,-0.22069,1.0948,1.6,0.036934
0.00017478,-0.058882,-0.043354,0.0051829,855.62,0.039557,0,-0.38487,336.09,1119.8,0.25574,-0.67962,0.91868,1.6,0.063588
0.00016065,-0.055466,-0.040389,0.0042944,753.22,0.037726,0,-0.39851,295.4,1069.8,0.26745,-0.83675,0.9406,1.6,0.060645
0.00019857,-0.061038,-0.046479,0.0093817,1004.3,0.045108,0,-0.33796,395.72,1161,0.23301,-0.44941,0.84327,1.6,0.072511
0.00037572,0.55543,0.01061,0.019449,1017.2,0.055384,0,-0.026704,242.4,375.89,1.5567,-1.0414,0.34293,1.6,0.089031
0.00036324,0.53008,0.0097288,0.012772,990.63,0.05593,0,-0.045306,241.38,387.3,1.5134,-1.0453,0.37283,1.6,0.089908
0.00018247,-0.065725,-0.047166,0.0097293,813.94,0.029049,0,-0.45766,318.29,1016.5,0.28601,-0.74836,1.0357,1.6,0.046697
0.00021401,-0.076483,-0.055182,0.013369,988.22,0.026038,0,-0.47626,386.81,1051.3,0.27998,-0.48383,1.0656,1.6,0.041857
0.00035167,0.50572,0.0086828,0.0085108,966.14,0.056225,0,-0.059792,240.91,399.2,1.4687,-1.0471,0.39612,1.6,0.090383
0.00032776,0.45442,0.0062576,0.0036614,915.81,0.056497,0,-0.083359,240.23,427.54,1.3681,-1.0498,0.434,1.6,0.090819
0.00031373,0.42408,0.0046707,0.001647,885.98,0.056568,0,-0.095525,239.7,445.4,1.3067,-1.0518,0.45356,1.6,0.090934
0.00027552,0.34161,0.00036393,-0.0018592,805.28,0.056546,0,-0.12179,237.26,503.01,1.1275,-1.0612,0.49578,1.6,0.090898
0.00026129,0.3107,-0.0013867,-0.002844,775.02,0.056483,0,-0.13072,236.04,526.91,1.0565,-1.0659,0.51014,1.6,0.090797
0.00021584,0.21016,-0.0071327,-0.0043682,682.43,0.056087,0,-0.15742,231.68,627.82,0.7921,-1.0827,0.55305,1.6,0.09016
0.00020456,0.18407,-0.00881,-0.0044205,660.54,0.055938,0,-0.16441,230.86,658.29,0.71597,-1.0859,0.56429,1.6,0.089921
0.00017043,0.097733,-0.014824,-0.0031519,606.64,0.055207,0,-0.19033,230.78,791.24,0.41973,-1.0862,0.60595,1.6,0.088746
0.00016416,0.080282,-0.016229,-0.0027088,598.51,0.055004,0,-0.19627,231.09,820.5,0.35563,-1.085,0.6155,1.6,0.088419
0.00014657,0.024606,-0.02115,-0.00080674,586.4,0.053987,0,-0.22131,232.87,926.64,0.1528,-1.0782,0.65576,1.6,0.086784
0.00014319,0.0148,-0.022034,-0.00054274,582.3,0.053736,0,-0.22668,231.88,943.5,0.1264,-1.082,0.66439,1.6,0.086381
0.00013196,-0.013775,-0.024517,-6.1294e-05,562.07,0.052449,0,-0.25082,223.55,987.26,0.14219,-1.1141,0.7032,1.6,0.084313
0.00013049,-0.018069,-0.024976,5.8461e-05,559.73,0.052151,0,-0.25576,222.42,992.98,0.15315,-1.1185,0.71114,1.6,0.083833
0.0001313,-0.031211,-0.027502,0.0010263,578.82,0.050582,0,-0.27866,228.87,1015.5,0.20301,-1.0936,0.74795,1.6,0.081311
0.0001337,-0.033625,-0.028411,0.0014201,593.85,0.05025,0,-0.28302,234.64,1022.4,0.21002,-1.0714,0.75496,1.6,0.080777
0.00015882,-0.045929,-0.035481,0.0047896,747.66,0.048402,0,-0.30493,294.79,1080.5,0.22737,-0.8391,0.79018,1.6,0.077806
0.00015201,-0.053388,-0.038562,0.0041494,690.34,0.036395,0,-0.40831,270.4,1036.3,0.27516,-0.93325,0.95636,1.6,0.058505
0.0001641,-0.047857,-0.036898,0.0053972,779.03,0.048098,0,-0.30829,307.13,1090.2,0.22844,-0.79147,0.79557,1.6,0.077317
0.00019756,-0.060182,-0.045928,0.0093999,995.24,0.045681,0,-0.33279,392.2,1156.4,0.23161,-0.463,0.83496,1.6,0.073432
0.00019846,-0.06053,-0.046197,0.009494,1001.2,0.045591,0,-0.33366,394.56,1158.2,0.23176,-0.45388,0.83636,1.6,0.073288
0.00022679,-0.08044,-0.058574,0.014843,1058.5,0.024861,0,-0.48347,414.47,1064.8,0.27756,-0.37703,1.0772,1.6,0.039964
0.00037588,0.024789,-0.02081,-0.0048077,1075.9,-0.011741,0,-0.64145,429.7,665.75,0.071542,-0.31823,1.3311,1.6,-0.018875
0.0004165,0.037048,-0.022307,-0.0152,1196.8,-0.011448,0,-0.64025,477.72,668.22,0.086852,-0.1328,1.3292,1.6,-0.018403
0.00042841,0.044699,-0.022102,-0.015234,1234.3,-0.011122,0,-0.63886,492.44,669.62,0.095998,-0.075972,1.327,1.6,-0.017879
0.00043556,0.050161,-0.021856,-0.015114,1257.8,-0.010888,0,-0.63785,501.66,671,0.10264,-0.040392,1.3254,1.6,-0.017503
0.00043326,0.061309,-0.019837,-0.015613,1250.8,-0.010418,0,-0.63572,498.26,669.99,0.12093,-0.053512,1.3219,1.6,-0.016747
0.00043175,0.066024,-0.018949,-0.015712,1246.9,-0.010217,0,-0.63481,496.46,669.89,0.12867,-0.060473,1.3205,1.6,-0.016424
0.00043172,0.067102,-0.018789,-0.015801,1246.5,-0.010172,0,-0.6346,496.24,669.65,0.13047,-0.061324,1.3201,1.6,-0.016351
0.00043206,0.068969,-0.018456,-0.015922,1245.7,-0.010087,0,-0.63418,495.8,668.53,0.13365,-0.063026,1.3195,1.6,-0.016215
0.0004354,0.086302,-0.015282,-0.017021,1239.4,-0.0092948,0,-0.63028,492.1,658.45,0.16302,-0.077301,1.3132,1.6,-0.014942
0.00044261,0.096687,-0.012962,-0.017286,1254.6,-0.0086051,0,-0.62651,497.4,654.72,0.17842,-0.056822,1.3071,1.6,-0.013833
0.00044442,0.099302,-0.01241,-0.01735,1258.4,-0.0084323,0,-0.62556,498.7,653.75,0.18234,-0.051809,1.3056,1.6,-0.013555
0.00044578,0.10051,-0.012039,-0.017154,1263.3,-0.008301,0,-0.62476,500.6,654.23,0.18368,-0.044476,1.3043,1.6,-0.013344
0.00045303,0.10646,-0.010138,-0.016072,1290.7,-0.0076216,0,-0.62056,511.1,657.27,0.18995,-0.0039286,1.2976,1.6,-0.012252
0.00045753,0.10795,-0.0093104,-0.014833,1310.2,-0.0072356,0,-0.61781,518.84,660.63,0.18974,0.025935,1.2931,1.6,-0.011631
0.00046229,0.10959,-0.0082336,-0.013188,1331.3,-0.0067482,0,-0.61429,527.23,664.43,0.18949,0.058347,1.2875,1.6,-0.010848
0.00046912,0.10938,-0.0064599,-0.010033,1367.8,-0.0059582,0,-0.60714,541.96,673,0.18447,0.11519,1.276,1.6,-0.0095779
0.00047072,0.10939,-0.0060973,-0.0093616,1376.1,-0.0057878,0,-0.6056,545.3,674.88,0.18344,0.12809,1.2735,1.6,-0.0093039
0.00047242,0.10922,-0.005927,-0.0087716,1385.4,-0.005677,0,-0.60418,549.06,677.05,0.18215,0.14261,1.2712,1.6,-0.0091258
0.00048179,0.10808,-0.0049246,-0.0053872,1437.1,-0.0050452,0,-0.59608,569.97,689.21,0.17472,0.22334,1.2582,1.6,-0.0081102
0.00049421,0.10729,-0.004469,-0.0026691,1505.3,-0.0046314,0,-0.58726,597.45,704.25,0.16709,0.32945,1.244,1.6,-0.007445
0.00049498,0.10724,-0.004433,-0.002445,1509.6,-0.0046046,0,-0.58667,599.2,705.24,0.16661,0.3362,1.2431,1.6,-0.007402
0.00050669,0.10719,-0.0040775,0.0022558,1579.6,-0.0044633,0,-0.57613,627.3,721.15,0.16092,0.44469,1.2261,1.6,-0.0071747
