"Density","Momentum:0","Momentum:1","Momentum:2","Energy","Grid_Velocity:0","Grid_Velocity:1","Grid_Velocity:2","Pressure","Temperature","Mach","Pressure_Coefficient","Points:0","Points:1","Points:2"
0.00031422,0.0024405,-0.021142,0.0036847,902.22,-0.011821,0,-0.8452,360.56,668.48,0.056833,-0.58515,1.3332,1.6,-0.014451
0.00033618,0.010089,-0.021518,0.0056841,965.42,-0.01352,0,-0.84518,385.81,668.6,0.057345,-0.48766,1.3332,1.6,-0.016527
0.00035131,0.0094035,-0.027129,-0.012222,1030.3,-0.0064712,0,-0.84527,411.55,682.48,0.069364,-0.38831,1.3333,1.6,-0.0079108
0.0003367,0.0055489,-0.025569,-0.0085372,981.94,-0.0074511,0,-0.84525,392.29,678.42,0.065597,-0.46265,1.3333,1.6,-0.0091087
0.00030053,-0.00316,-0.021353,0.00099755,863.57,-0.010137,0,-0.84522,345.12,669,0.056839,-0.64479,1.3333,1.6,-0.012393
0.00037088,0.0078014,-0.029373,-0.0082994,1102.2,-0.0062425,0,-0.84427,440.3,690.63,0.067711,-0.27729,1.3321,1.6,-0.0076313
0.0004146,0.0037494,-0.034599,0.00048564,1262.6,-0.0057287,0,-0.84203,504.45,708.85,0.064334,-0.029599,1.3294,1.6,-0.0070032
0.00042661,-0.0025277,-0.036409,0.0011846,1323.3,-0.0052762,0,-0.84007,528.69,721.71,0.065767,0.063981,1.327,1.6,-0.0064501
0.00043693,-0.0076349,-0.037883,0.0020622,1373.2,-0.0049364,0,-0.8386,548.61,731.49,0.066816,0.14087,1.3252,1.6,-0.0060346
0.00043563,-0.011548,-0.038329,0.0022676,1383.2,-0.0045919,0,-0.8371,552.55,738.97,0.069517,0.15609,1.3233,1.6,-0.0056135
0.00043397,-0.018125,-0.039164,0.0030893,1402,-0.0040205,0,-0.83461,559.93,751.67,0.074192,0.18459,1.3203,1.6,-0.0049149
0.00043136,-0.023828,-0.040148,0.0043611,1414.1,-0.0034368,0,-0.83205,564.61,762.64,0.080669,0.20268,1.3172,1.6,-0.0042014
0.00042833,-0.030842,-0.041464,0.0059508,1429.6,-0.0027277,0,-0.82894,570.57,776.04,0.088953,0.22567,1.3134,1.6,-0.0033346
0.00042305,-0.038268,-0.043126,0.0076213,1443.5,-0.0018231,0,-0.82494,575.77,792.99,0.099823,0.24575,1.3085,1.6,-0.0022287
0.00042007,-0.042302,-0.04404,0.008518,1450.8,-0.0013278,0,-0.82275,578.52,802.33,0.10572,0.25637,1.3058,1.6,-0.0016231
0.00041631,-0.045262,-0.044737,0.0090863,1454.8,-0.00089966,0,-0.82083,579.92,811.79,0.1107,0.26176,1.3034,1.6,-0.0010998
0.00040769,-0.052876,-0.046754,0.010771,1466.5,0.00015777,0,-0.81611,584.11,834.69,0.12369,0.27794,1.2977,1.6,0.00019287
