"Density","Momentum:0","Momentum:1","Momentum:2","Energy","Grid_Velocity:0","Grid_Velocity:1","Grid_Velocity:2","Pressure","Temperature","Mach","Pressure_Coefficient","Points:0","Points:1","Points:2"
0.00045413,0.00019758,-0.033433,0.0064536,1522.8,0.0026752,0,1.1332,608.58,780.76,0.055625,0.37242,1.3333,1.6,-0.0024395
0.0004706,0.0068051,-0.032967,0.0080045,1573.5,0.0049526,0,1.1332,628.9,778.56,0.053755,0.45089,1.3333,1.6,-0.0045162
0.00048508,0.002507,-0.040651,-0.0012255,1624.6,-0.004497,0,1.1332,649.16,779.65,0.061372,0.5291,1.3333,1.6,0.0041008
0.00047705,0.0013723,-0.039335,-0.00084963,1600.5,-0.0031833,0,1.1332,639.56,781.11,0.060245,0.49203,1.3333,1.6,0.0029028
0.00044896,-0.0032949,-0.034861,0.0032626,1510.3,0.00041834,0,1.1332,603.58,783.2,0.057343,0.35311,1.3333,1.6,-0.00038148
0.00048693,0.0013075,-0.04154,-0.00034408,1621.7,-0.004788,0,1.1318,647.96,775.29,0.06262,0.52446,1.3321,1.6,0.0043661
0.0004919,-0.001146,-0.043694,0.0017435,1617.4,-0.0054418,0,1.1288,646.2,765.33,0.065577,0.51767,1.3294,1.6,0.0049624
0.00047303,-0.0045281,-0.04271,0.0014499,1544.4,-0.0060178,0,1.1262,616.97,759.63,0.067502,0.40481,1.327,1.6,0.0054876
0.00045974,-0.0069627,-0.04209,0.0010989,1490.7,-0.0064505,0,1.1242,595.47,754.57,0.068951,0.3218,1.3252,1.6,0.0058821
0.00044719,-0.010614,-0.041234,0.0014708,1450.8,-0.0068889,0,1.1222,579.52,755.01,0.071233,0.26022,1.3233,1.6,0.0062819
0.00042867,-0.016749,-0.040027,0.0020288,1392.4,-0.0076162,0,1.1189,556.06,755.71,0.075203,0.16966,1.3203,1.6,0.0069451
0.00042238,-0.022448,-0.040138,0.0036245,1388.1,-0.0083586,0,1.1154,554.21,764.58,0.081193,0.1625,1.3171,1.6,0.0076222
0.00041442,-0.029325,-0.040168,0.0055463,1381.5,-0.0092607,0,1.1112,551.39,775.15,0.088492,0.15164,1.3133,1.6,0.0084447
0.0004104,-0.03731,-0.041311,0.0081237,1405.4,-0.010411,0,1.1059,560.58,795.88,0.099435,0.1871,1.3084,1.6,0.0094937
0.00040828,-0.041697,-0.041947,0.0095327,1418.9,-0.011041,0,1.1029,565.82,807.38,0.10535,0.20733,1.3057,1.6,0.010068
0.00040582,-0.044869,-0.042515,0.010283,1428.4,-0.011585,0,1.1003,569.39,817.57,0.11025,0.2211,1.3034,1.6,0.010564
0.00039947,-0.052891,-0.043921,0.012197,1450.1,-0.012929,0,1.094,577.59,842.36,0.12286,0.25277,1.2976,1.6,0.01179
0.00038992,-0.059399,-0.04529,0.013667,1458.4,-0.014288,0,1.0875,580.38,867.55,0.13511,0.26355,1.2917,1.6,0.013029
0.00038351,-0.063726,-0.046173,0.014636,1464,-0.015207,0,1.0831,582.26,884.51,0.1432,0.27081,1.2877,1.6,0.013867
0.00037658,-0.067146,-0.047179,0.015388,1463.2,-0.016131,0,1.0786,581.53,900.3,0.151,0.26797,1.2836,1.6,0.01471
0.00035918,-0.075432,-0.049786,0.017063,1457.5,-0.018317,0,1.0679,578.27,937.95,0.17063,0.2554,1.2739,1.6,0.016703
0.00033914,-0.081308,-0.051512,0.017889,1428.4,-0.020904,0,1.0551,565.68,972.4,0.18918,0.20681,1.2621,1.6,0.019062
0.0003335,-0.08302,-0.052032,0.018135,1420.9,-0.021646,0,1.0514,562.4,982.43,0.19447,0.19412,1.2587,1.6,0.019739
0.00032845,-0.083823,-0.052164,0.018214,1409.2,-0.022386,0,1.0476,557.54,989.3,0.19846,0.17536,1.2553,1.6,0.020413
0.00030918,-0.086958,-0.05335,0.018414,1365.6,-0.025194,0,1.0332,539.28,1016.1,0.21462,0.10487,1.2422,1.6,0.022975
0.0002957,-0.087671,-0.054139,0.018512,1323.2,-0.027835,0,1.0193,521.83,1028.6,0.22565,0.037497,1.2295,1.6,0.025383
0.00028625,-0.08821,-0.054621,0.018553,1293.3,-0.029673,0,1.0095,509.56,1037.1,0.23335,-0.0098969,1.2206,1.6,0.027059
0.00027932,-0.087517,-0.054269,0.018091,1264.4,-0.030966,0,1.0025,497.91,1038.5,0.23712,-0.054847,1.2141,1.6,0.028237
0.000259,-0.085334,-0.054046,0.016947,1175,-0.035376,0,0.97794,461.91,1039,0.2505,-0.19387,1.1918,1.6,0.032259
0.00024806,-0.08338,-0.052523,0.016297,1118.2,-0.03792,0,0.96331,439.22,1031.3,0.25592,-0.28146,1.1784,1.6,0.034579
0.00023058,-0.079345,-0.050491,0.014563,1026.5,-0.042132,0,0.93861,402.74,1017.6,0.26427,-0.4223,1.1559,1.6,0.03842
0.00021226,-0.07487,-0.047041,0.012371,929.68,-0.047125,0,0.90828,364.36,999.66,0.27145,-0.57051,1.1282,1.6,0.042973
0.0002206,-0.076092,-0.049735,0.0083944,1105.1,-0.068974,0,0.76138,434.47,1147.4,0.24924,-0.29981,0.9943,1.6,0.062897
0.0002183,-0.075508,-0.049248,0.0080952,1085.3,-0.068382,0,0.76569,426.62,1138,0.25088,-0.33013,0.99822,1.6,0.062357
0.00018343,-0.05681,-0.039078,0.0079687,892.24,-0.0843,0,0.63334,351.64,1116.7,0.23107,-0.6196,0.87753,1.6,0.076872
0.00019193,-0.059926,-0.041044,0.0090868,949.76,-0.083242,0,0.6432,374.32,1134.4,0.23083,-0.53206,0.88653,1.6,0.075908
0.00020557,-0.072992,-0.045931,0.011406,894.87,-0.049115,0,0.89605,350.58,993.63,0.27399,-0.62369,1.1171,1.6,0.044788
0.00022317,-0.076401,-0.050193,0.009054,1128.2,-0.069921,0,0.75404,443.7,1157.5,0.24697,-0.26417,0.98761,1.6,0.063761
0.00019808,-0.070709,-0.044505,0.0094599,865.23,-0.053027,0,0.87097,338.95,997.13,0.27439,-0.66859,1.0942,1.6,0.048355
0.00022399,-0.071191,-0.04897,0.012626,1162.2,-0.079476,0,0.67739,458.07,1191.6,0.23052,-0.20868,0.9177,1.6,0.072473
0.00023427,-0.076254,-0.051698,0.012848,1231.5,-0.076595,0,0.70147,485.22,1206.5,0.23318,-0.10387,0.93967,1.6,0.069846
0.00015235,-0.04588,-0.031642,0.0036903,695.18,-0.088072,0,0.59456,273.97,1044.5,0.23122,-0.91947,0.84217,1.6,0.080312
0.00039239,0.57399,0.011034,0.028392,1054.3,-0.0983,0,0.045667,253.32,376.12,1.5408,-0.9992,0.34164,1.6,0.089639
0.00038287,0.55558,0.010357,0.021417,1034.6,-0.099733,0,0.078441,252.3,383.99,1.512,-1.0032,0.37153,1.6,0.090945
0.00019783,-0.070156,-0.044828,0.0061749,911.08,-0.062799,0,0.80596,357.38,1052.4,0.26547,-0.59744,1.0349,1.6,0.057266
0.00019215,-0.068714,-0.043451,0.0072886,849.75,-0.057963,0,0.83882,332.96,1009.3,0.27291,-0.69172,1.0649,1.6,0.052856
0.00037336,0.53612,0.0094759,0.016802,1015,-0.10062,0,0.10397,251.82,393.01,1.4786,-1.005,0.39481,1.6,0.091755
0.00035248,0.49216,0.0073343,0.01112,971.8,-0.1017,0,0.1455,251.14,415.43,1.3981,-1.0076,0.43268,1.6,0.092736
0.00033947,0.46454,0.0058865,0.0085731,944.36,-0.10213,0,0.16694,250.52,430.17,1.3463,-1.01,0.45223,1.6,0.093132
0.00030248,0.38603,0.0018819,0.0035651,866.11,-0.10276,0,0.21324,247.81,478.21,1.1904,-1.0205,0.49445,1.6,0.093702
0.00028817,0.35543,0.00022148,0.0020433,835.5,-0.10287,0,0.22899,246.45,498.83,1.1264,-1.0257,0.50881,1.6,0.093808
0.00024,0.25118,-0.0053115,-0.0012419,735.05,-0.10285,0,0.27605,241.19,587.41,0.88013,-1.0461,0.55173,1.6,0.093788
0.00022737,0.22322,-0.0069158,-0.0018177,709.08,-0.10276,0,0.28838,239.62,614.9,0.80736,-1.0521,0.56297,1.6,0.09371
0.00018494,0.12596,-0.012515,-0.0026678,628.58,-0.10213,0,0.33408,233.74,738.72,0.5122,-1.0748,0.60464,1.6,0.093134
0.00017691,0.10611,-0.013823,-0.0026447,615.21,-0.10192,0,0.34456,232.97,767.82,0.44509,-1.0778,0.6142,1.6,0.092944
0.00015486,0.040466,-0.018729,-0.00152,596.51,-0.10077,0,0.38872,235.75,888.11,0.19866,-1.067,0.65447,1.6,0.091888
0.00015232,0.029167,-0.019836,-0.001073,599.53,-0.10046,0,0.3982,238.1,910.64,0.15929,-1.058,0.66311,1.6,0.09161
0.00015014,-0.0057592,-0.024129,0.0012219,639.04,-0.098805,0,0.44078,254.7,988.44,0.11338,-0.99388,0.70194,1.6,0.090099
0.00014989,-0.011313,-0.024891,0.0015619,645.29,-0.098404,0,0.4495,257.1,999.28,0.11846,-0.98463,0.70989,1.6,0.089733
0.00014625,-0.028432,-0.026864,0.0019672,647.91,-0.096219,0,0.4899,257.04,1024.1,0.17136,-0.98484,0.74673,1.6,0.087741
0.00014453,-0.030665,-0.026963,0.0018187,640.84,-0.095744,0,0.49759,254.02,1023.8,0.18043,-0.9965,0.75375,1.6,0.087308
0.00013577,-0.036308,-0.026751,0.001078,595.09,-0.093042,0,0.53626,235.03,1008.6,0.21359,-1.0698,0.78901,1.6,0.084844
0.00023785,-0.078543,-0.052982,0.012435,1253.1,-0.074496,0,0.71878,493.55,1209.1,0.23578,-0.071704,0.95545,1.6,0.067932
0.00013525,-0.03695,-0.026834,0.0010932,591.93,-0.09259,0,0.54218,233.69,1006.6,0.21716,-1.075,0.79441,1.6,0.084432
0.00014531,-0.043388,-0.029937,0.0027283,650.92,-0.088951,0,0.58544,256.53,1028.4,0.23105,-0.98681,0.83385,1.6,0.081113
0.0001461,-0.043705,-0.030144,0.0028348,655.43,-0.088814,0,0.58697,258.3,1030,0.23133,-0.97998,0.83525,1.6,0.080989
0.00019172,-0.068629,-0.043346,0.0079078,837.38,-0.05607,0,0.85155,328.01,996.94,0.27498,-0.71084,1.0765,1.6,0.05113
0.00050804,0.025097,-0.034234,-0.0037187,1682.9,0.0044437,0,1.131,672.27,771.45,0.066025,0.61834,1.3313,1.6,-0.0040522
0.00054336,0.042803,-0.035376,-0.014823,1785.3,0.0039575,0,1.1288,712.92,764.38,0.078049,0.77528,1.3294,1.6,-0.0036088
0.00053903,0.052254,-0.033796,-0.014429,1756.5,0.0034178,0,1.1264,701.06,757.67,0.088294,0.72947,1.3271,1.6,-0.0031167
0.00053477,0.058908,-0.032541,-0.014069,1731.7,0.0030313,0,1.1246,690.91,752.68,0.095602,0.69031,1.3255,1.6,-0.0027642
0.00051708,0.067835,-0.028891,-0.01434,1657,0.0022564,0,1.1208,660.59,744.1,0.10918,0.57322,1.3221,1.6,-0.0020576
0.00050892,0.071602,-0.027278,-0.014428,1622.8,0.0019249,0,1.1192,646.71,740.29,0.11497,0.51964,1.3206,1.6,-0.0017553
0.00050741,0.072467,-0.026961,-0.014462,1616.3,0.0018502,0,1.1188,644.08,739.5,0.11629,0.50948,1.3203,1.6,-0.0016872
0.00050677,0.07402,-0.026506,-0.014662,1612.5,0.0017113,0,1.1181,642.47,738.58,0.11858,0.50329,1.3196,1.6,-0.0015605
0.00050077,0.08854,-0.022041,-0.016473,1577.6,0.00041417,0,1.1112,627.6,730.13,0.13978,0.44585,1.3133,1.6,-0.00037768
0.00049792,0.096207,-0.019096,-0.016918,1561.2,-0.00070594,0,1.1045,620.48,725.97,0.1514,0.41836,1.3072,1.6,0.00064374
0.00049713,0.098125,-0.018391,-0.017023,1556.7,-0.00098663,0,1.1029,618.57,724.89,0.15435,0.41099,1.3057,1.6,0.0008997
0.00049524,0.098326,-0.017936,-0.016544,1549.7,-0.0011977,0,1.1014,615.75,724.34,0.15508,0.40011,1.3044,1.6,0.0010922
0.000486,0.098936,-0.01548,-0.014313,1516.5,-0.0022889,0,1.094,602.4,722.12,0.15801,0.34857,1.2976,1.6,0.0020873
0.00048189,0.096793,-0.014525,-0.013432,1504.4,-0.0028996,0,1.0892,597.7,722.6,0.15557,0.3304,1.2932,1.6,0.0026441
0.00047629,0.094085,-0.01316,-0.01207,1487,-0.0036694,0,1.0829,590.94,722.82,0.15256,0.3043,1.2875,1.6,0.0033461
0.00046102,0.086077,-0.010953,-0.0088051,1439.1,-0.0048808,0,1.0703,572.34,723.27,0.14345,0.23251,1.276,1.6,0.0044507
0.0004577,0.08436,-0.010513,-0.0080998,1428.7,-0.0051422,0,1.0676,568.28,723.33,0.14152,0.21681,1.2735,1.6,0.0046891
0.00045448,0.082917,-0.01024,-0.0075802,1418.4,-0.0053015,0,1.0651,564.24,723.28,0.13995,0.20125,1.2713,1.6,0.0048344
0.00043604,0.074616,-0.0085998,-0.0045993,1359.3,-0.0062099,0,1.0508,541.12,722.99,0.13093,0.11198,1.2582,1.6,0.0056628
0.00041537,0.066751,-0.0073317,-0.0012991,1294.4,-0.0067159,0,1.0353,515.58,723.13,0.12264,0.013363,1.244,1.6,0.0061242
0.00041411,0.066271,-0.0072435,-0.0011277,1290.4,-0.0067482,0,1.0342,514,723.12,0.12214,0.0072738,1.2431,1.6,0.0061536
0.00040084,0.062119,-0.0063922,0.00034796,1249.1,-0.0067301,0,1.0156,497.67,723.34,0.11815,-0.055773,1.2261,1.6,0.0061371
0.00039651,0.060747,-0.0061211,0.0010492,1235.8,-0.0067119,0,1.0107,492.42,723.51,0.1168,-0.076051,1.2216,1.6,0.0061205
0.00039133,0.058907,-0.005774,0.002385,1220.4,-0.0062864,0,1.0006,486.36,724.06,0.11477,-0.099474,1.2125,1.6,0.0057325
