"time_instance","CL","CD","CMx","CMy","CMz"
0, -0.0406799387280402, 0.00129686847844691, 0, 0, 0.0101457996748969, 
1, 0.0649183108113422, 0.00218938364384584, 0, 0, 0.012673245496938, 
2, 0.111673562025106, 0.00292888292091589, 0, 0, 0.0402771372107582, 
3, -0.0802720368705659, 0.00270475292653175, 0, 0, -0.0491170027671889, 
4, -0.055964569712639, 0.00265388544795268, 0, 0, -0.0031305293668275, 
5, -0.0889191602629236, 0.00166985568741383, 0, 0, -0.0286940425320025, 
6, 0.156948349887922, 0.00574320598338467, 0, 0, 0.0625288539184733, 
7, 0.00139828693604482, 0.00357494207934009, 0, 0, -0.016979124564579, 
8, 0.0208880040636622, 0.000838996153507719, 0, 0, 0.00212735290907922, 
9, -0.178502328834726, 0.00581517224883265, 0, 0, -0.0555731250413408, 
10, 0.0535963062766363, 0.00385429192307164, 0, 0, 0.0287449460340092, 
11, 0.0359864869036138, 0.00146261630414792, 0, 0, 0.0159377760897635, 
12, 0.111849337195876, 0.0024276374691004, 0, 0, 0.019807343297983, 
13, -0.10275494520152, 0.00379064980574552, 0, 0, -0.0343007200329755, 
14, -0.0773842411230559, 0.00263305964482907, 0, 0, -0.0290495057923423, 
