"Density","Energy","Grid_Velocity:0","Grid_Velocity:1","Grid_Velocity:2","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","Points:0","Points:1","Points:2"
0.00016452,757.75,0.044845,0,-0.5685,0.2797,-0.060196,-0.041151,0.0051686,296.6,-0.8321,1050.2,0.99498,1.6,0.054822
0.00016425,752.65,0.044367,0,-0.57171,0.28097,-0.060234,-0.041093,0.0053259,294.55,-0.84003,1044.7,0.9989,1.6,0.054237
0.00020342,1051.9,0.057387,0,-0.47313,0.23887,-0.06544,-0.048228,0.010831,414.13,-0.37832,1186.1,0.87839,1.6,0.070154
0.000206,1071.4,0.056512,0,-0.48048,0.23987,-0.066873,-0.049043,0.010955,421.78,-0.34881,1192.9,0.88737,1.6,0.069085
0.00016806,786.57,0.045616,0,-0.56304,0.27645,-0.06106,-0.041946,0.0054398,308.06,-0.78786,1065.9,0.9883,1.6,0.055764
0.00020712,1084.6,0.053407,0,-0.50595,0.24542,-0.069367,-0.050312,0.010202,426.66,-0.32997,1200.3,0.9185,1.6,0.065288
0.00019566,999.8,0.051049,0,-0.52389,0.25425,-0.067431,-0.048069,0.0081012,392.83,-0.46056,1168.9,0.94043,1.6,0.062406
0.00017583,867.39,0.060537,0,-0.44424,0.23848,-0.055271,-0.040815,0.0076768,341.52,-0.65868,1129.7,0.84307,1.6,0.074004
0.00038241,1031.1,0.072925,0,-0.034915,1.5623,0.5653,0.010893,0.021335,244.98,-1.0314,373.24,0.34268,1.6,0.089149
0.00037249,1010.3,0.07371,0,-0.059373,1.5306,0.54575,0.010159,0.01463,244.03,-1.0351,381.75,0.37258,1.6,0.090108
0.00036289,990.4,0.07415,0,-0.078421,1.4952,0.52589,0.0092474,0.010286,243.63,-1.0366,391.19,0.39587,1.6,0.090647
0.0003419,946.95,0.074593,0,-0.10941,1.4113,0.4815,0.0070317,0.005179,243.08,-1.0388,414.57,0.43375,1.6,0.091187
