"Density","Energy","Grid_Velocity:0","Grid_Velocity:1","Grid_Velocity:2","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","Points:0","Points:1","Points:2"
0.00016617,809.91,-0.063963,0,0.74005,0.26583,-0.060879,-0.038016,0.0083349,317.68,-0.75072,1113.8,0.99455,1.6,0.06003
0.00017063,837.53,-0.063371,0,0.74423,0.26529,-0.062599,-0.039012,0.0088256,328.54,-0.70879,1120.3,0.99847,1.6,0.059475
0.00014647,720.05,-0.079367,0,0.6157,0.23621,-0.047641,-0.030994,0.0034916,283.59,-0.88234,1127.9,0.87785,1.6,0.074488
0.00014241,693.23,-0.0783,0,0.62528,0.24051,-0.04694,-0.030378,0.0033101,272.88,-0.92368,1115.9,0.88684,1.6,0.073486
0.00016107,780.6,-0.064913,0,0.73293,0.26572,-0.058817,-0.036791,0.007792,306.19,-0.79509,1106.3,0.98786,1.6,0.060922
0.00012963,607.35,-0.074504,0,0.65848,0.25556,-0.044771,-0.028482,0.0031819,238.58,-1.0561,1072.4,0.918,1.6,0.069923
0.00013146,613.13,-0.071608,0,0.68187,0.2623,-0.046575,-0.029308,0.004229,240.61,-1.0483,1066.2,0.93995,1.6,0.067205
0.00016544,840.77,-0.083188,0,0.57804,0.21889,-0.050018,-0.033672,0.0054646,331.87,-0.69592,1167.6,0.8425,1.6,0.078073
0.00038735,1041.5,-0.095327,0,0.044766,1.5459,0.56805,0.01064,0.02576,249.57,-1.0137,375.37,0.34201,1.6,0.089466
0.00037706,1019.8,-0.096588,0,0.076615,1.515,0.54815,0.0099719,0.018853,248.31,-1.0186,383.74,0.3719,1.6,0.090649
0.000367,998.98,-0.097348,0,0.10142,1.4801,0.52775,0.0091406,0.014323,247.65,-1.0211,393.2,0.39518,1.6,0.091363
0.00034538,954.77,-0.098227,0,0.14178,1.3975,0.48281,0.0071558,0.0088602,246.81,-1.0243,416.69,0.43306,1.6,0.092187
0.00017247,848.66,-0.063139,0,0.74586,0.26506,-0.06326,-0.039451,0.0090166,332.92,-0.69187,1122.6,1,1.6,0.059257
0.00033223,927.7,-0.098563,0,0.16262,1.3447,0.45517,0.0058232,0.0064698,246.29,-1.0263,432.14,0.45262,1.6,0.092503
0.00029539,852.63,-0.098985,0,0.2076,1.1869,0.3777,0.0021784,0.0019017,244.37,-1.0338,482.95,0.49484,1.6,0.092899
0.00028133,823.79,-0.099034,0,0.22291,1.1228,0.3479,0.00066241,0.00053938,243.41,-1.0375,504.66,0.5092,1.6,0.092945
0.00023437,730.86,-0.098824,0,0.26863,0.87771,0.24694,-0.0043566,-0.0021718,240.07,-1.0504,598.88,0.55211,1.6,0.092748
0.00022205,706.83,-0.098692,0,0.28061,0.80559,0.21983,-0.0058408,-0.0025588,239.04,-1.0543,628.14,0.56336,1.6,0.092624
0.00017962,629.63,-0.097895,0,0.32501,0.51065,0.12406,-0.011026,-0.0026601,234.22,-1.073,762.46,0.60502,1.6,0.091876
0.00017103,614.24,-0.097651,0,0.33519,0.4438,0.10421,-0.012214,-0.0025521,232.67,-1.079,793.32,0.61458,1.6,0.091647
0.00014357,569.11,-0.096348,0,0.3781,0.20051,0.039439,-0.016068,-0.0018529,224.85,-1.1091,914.13,0.65485,1.6,0.090424
0.00013928,563.18,-0.096014,0,0.3873,0.16052,0.028467,-0.016845,-0.0016714,223.63,-1.1139,935.56,0.66349,1.6,0.09011
0.00013067,569.94,-0.094233,0,0.42867,0.10771,-0.004753,-0.019857,-0.00061217,227.24,-1.0999,1013.5,0.70231,1.6,0.088439
0.00013082,579.27,-0.093809,0,0.43714,0.1127,-0.010251,-0.020668,-0.00027496,230.87,-1.0859,1028,0.71026,1.6,0.088041
0.00014305,678.96,-0.091524,0,0.47638,0.1675,-0.029413,-0.025361,0.0021818,269.44,-0.93695,1096.8,0.74709,1.6,0.085896
0.00014693,705.28,-0.091031,0,0.48386,0.17519,-0.032534,-0.026519,0.0027828,279.7,-0.89736,1109,0.75411,1.6,0.085434
0.00016767,843.01,-0.088251,0,0.52141,0.19607,-0.04426,-0.031991,0.0054673,333.6,-0.68924,1158.7,0.78935,1.6,0.082824
0.00013539,631.54,-0.069499,0,0.69868,0.26594,-0.048571,-0.030547,0.0050915,247.71,-1.0209,1066.4,0.95573,1.6,0.065226
0.0001702,859,-0.087788,0,0.52717,0.19838,-0.045641,-0.032735,0.0057296,339.85,-0.66511,1163.4,0.79476,1.6,0.082391
0.00016955,866.52,-0.084079,0,0.56918,0.21486,-0.050431,-0.034219,0.0058821,342.19,-0.6561,1175.8,0.83418,1.6,0.078909
0.0001692,864.68,-0.08394,0,0.57067,0.21551,-0.050512,-0.03421,0.0058506,341.43,-0.65901,1175.6,0.83558,1.6,0.078779
0.00082961,2007.4,-0.0026631,0,-0.31965,0.17471,0.010672,0.029347,0.16347,795.34,1.0935,558.49,6.7763e-21,1.6,0.0024993
0.00082244,1993.3,-0.0043547,0,-0.31952,0.22536,0.023643,0.028917,0.20949,785.24,1.0545,556.19,0.00012846,1.6,0.004087
0.00057202,1493.6,-0.035572,0,-0.30278,1.1342,0.5091,0.020227,0.43916,438.84,-0.28292,447.24,0.01584,1.6,0.033385
0.00054317,1414.4,-0.036793,0,-0.30137,1.1101,0.49168,0.019128,0.38998,420.62,-0.35329,451.14,0.017164,1.6,0.03453
0.00071603,1830.7,-0.024851,0,-0.31219,0.93498,0.38912,0.025016,0.6003,588.23,0.29385,478.45,0.0070043,1.6,0.023323
0.00070778,1822.6,-0.026432,0,-0.31119,1.0043,0.43267,0.024821,0.61673,568.48,0.2176,467.92,0.0079477,1.6,0.024807
0.00069101,1790,-0.028104,0,-0.3099,1.062,0.47031,0.024355,0.60685,544.41,0.12466,458.74,0.0091545,1.6,0.026376
0.00074362,1859.1,-0.019346,0,-0.3153,0.70365,0.24874,0.025603,0.52356,653.09,0.54428,511.66,0.0040878,1.6,0.018156
0.00073599,1851.7,-0.020966,0,-0.31445,0.77097,0.28874,0.025431,0.54989,634.7,0.47328,502.29,0.0048885,1.6,0.019677
0.00075359,1873.7,-0.017615,0,-0.31604,0.63912,0.21257,0.025939,0.49175,672.18,0.61796,519.52,0.0033965,1.6,0.016532
0.00079343,1940.8,-0.011235,0,-0.31831,0.42101,0.09556,0.02729,0.36844,739.63,0.8784,543.08,0.001262,1.6,0.010544
0.00078001,1917,-0.013309,0,-0.31764,0.48899,0.1311,0.026807,0.40962,718.14,0.79544,536.25,0.0018912,1.6,0.012491
0.00064575,1688.2,-0.031755,0,-0.30677,1.1486,0.52391,0.022986,0.55763,493.33,-0.07256,444.92,0.012089,1.6,0.029803
0.00061539,1612.8,-0.033742,0,-0.30489,1.1707,0.53548,0.021895,0.51312,466.2,-0.17731,441.34,0.013856,1.6,0.031667
0.00080592,1962.7,-0.0082675,0,-0.31892,0.33812,0.061873,0.027976,0.30382,759.92,0.95673,549.26,0.00068789,1.6,0.0077592
0.00072666,1842.6,-0.022946,0,-0.3134,0.85315,0.33758,0.025208,0.58203,612.25,0.3866,490.86,0.0058667,1.6,0.021535
0.000673,1756.2,-0.029979,0,-0.30846,1.1304,0.51433,0.023859,0.59813,517.37,0.020287,447.87,0.010509,1.6,0.028136
0.00076561,1891.4,-0.015536,0,-0.31692,0.56194,0.16923,0.026281,0.4538,695.09,0.70643,528.92,0.0025663,1.6,0.014581
0.00081534,1979.3,-0.0060347,0,-0.31938,0.27572,0.036522,0.028449,0.25519,775.22,1.0158,553.91,0.00025596,1.6,0.0056637
0.00053015,1382.8,-0.037941,0,-0.29979,1.1262,0.49651,0.018516,0.36934,408.27,-0.40096,448.54,0.018641,1.6,0.035608
0.00048742,1280,-0.043832,0,-0.29057,1.1899,0.51758,0.016257,0.29309,366.67,-0.56156,438.25,0.0273,1.6,0.041137
