"Density","Energy","Grid_Velocity:0","Grid_Velocity:1","Grid_Velocity:2","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","Points:0","Points:1","Points:2"
0.0002206,1105.1,-0.068974,0,0.76138,0.24924,-0.076092,-0.049735,0.0083944,434.47,-0.29981,1147.4,0.9943,1.6,0.062897
0.0002183,1085.3,-0.068382,0,0.76569,0.25088,-0.075508,-0.049248,0.0080952,426.62,-0.33013,1138,0.99822,1.6,0.062357
0.00018343,892.24,-0.0843,0,0.63334,0.23107,-0.05681,-0.039078,0.0079687,351.64,-0.6196,1116.7,0.87753,1.6,0.076872
0.00019193,949.76,-0.083242,0,0.6432,0.23083,-0.059926,-0.041044,0.0090868,374.32,-0.53206,1134.4,0.88653,1.6,0.075908
0.00022317,1128.2,-0.069921,0,0.75404,0.24697,-0.076401,-0.050193,0.009054,443.7,-0.26417,1157.5,0.98761,1.6,0.063761
0.00022399,1162.2,-0.079476,0,0.67739,0.23052,-0.071191,-0.04897,0.012626,458.07,-0.20868,1191.6,0.9177,1.6,0.072473
0.00023427,1231.5,-0.076595,0,0.70147,0.23318,-0.076254,-0.051698,0.012848,485.22,-0.10387,1206.5,0.93967,1.6,0.069846
0.00015235,695.18,-0.088072,0,0.59456,0.23122,-0.04588,-0.031642,0.0036903,273.97,-0.91947,1044.5,0.84217,1.6,0.080312
0.00039239,1054.3,-0.0983,0,0.045667,1.5408,0.57399,0.011034,0.028392,253.32,-0.9992,376.12,0.34164,1.6,0.089639
0.00038287,1034.6,-0.099733,0,0.078441,1.512,0.55558,0.010357,0.021417,252.3,-1.0032,383.99,0.37153,1.6,0.090945
0.00037336,1015,-0.10062,0,0.10397,1.4786,0.53612,0.0094759,0.016802,251.82,-1.005,393.01,0.39481,1.6,0.091755
0.00035248,971.8,-0.1017,0,0.1455,1.3981,0.49216,0.0073343,0.01112,251.14,-1.0076,415.43,0.43268,1.6,0.092736
0.00021731,1076.9,-0.068112,0,0.76764,0.25159,-0.075249,-0.049034,0.0080023,423.27,-0.34306,1133.8,1,1.6,0.062111
0.00033947,944.36,-0.10213,0,0.16694,1.3463,0.46454,0.0058865,0.0085731,250.52,-1.01,430.17,0.45223,1.6,0.093132
0.00030248,866.11,-0.10276,0,0.21324,1.1904,0.38603,0.0018819,0.0035651,247.81,-1.0205,478.21,0.49445,1.6,0.093702
0.00028817,835.5,-0.10287,0,0.22899,1.1264,0.35543,0.00022148,0.0020433,246.45,-1.0257,498.83,0.50881,1.6,0.093808
0.00024,735.05,-0.10285,0,0.27605,0.88013,0.25118,-0.0053115,-0.0012419,241.19,-1.0461,587.41,0.55173,1.6,0.093788
0.00022737,709.08,-0.10276,0,0.28838,0.80736,0.22322,-0.0069158,-0.0018177,239.62,-1.0521,614.9,0.56297,1.6,0.09371
0.00018494,628.58,-0.10213,0,0.33408,0.5122,0.12596,-0.012515,-0.0026678,233.74,-1.0748,738.72,0.60464,1.6,0.093134
0.00017691,615.21,-0.10192,0,0.34456,0.44509,0.10611,-0.013823,-0.0026447,232.97,-1.0778,767.82,0.6142,1.6,0.092944
0.00015486,596.51,-0.10077,0,0.38872,0.19866,0.040466,-0.018729,-0.00152,235.75,-1.067,888.11,0.65447,1.6,0.091888
0.00015232,599.53,-0.10046,0,0.3982,0.15929,0.029167,-0.019836,-0.001073,238.1,-1.058,910.64,0.66311,1.6,0.09161
0.00015014,639.04,-0.098805,0,0.44078,0.11338,-0.0057592,-0.024129,0.0012219,254.7,-0.99388,988.44,0.70194,1.6,0.090099
0.00014989,645.29,-0.098404,0,0.4495,0.11846,-0.011313,-0.024891,0.0015619,257.1,-0.98463,999.28,0.70989,1.6,0.089733
0.00014625,647.91,-0.096219,0,0.4899,0.17136,-0.028432,-0.026864,0.0019672,257.04,-0.98484,1024.1,0.74673,1.6,0.087741
