"Density","Energy","Grid_Velocity:0","Grid_Velocity:1","Grid_Velocity:2","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","Points:0","Points:1","Points:2"
0.00015375,673.66,0.032915,0,-0.43243,0.28644,-0.055269,-0.039476,0.0061901,263.41,-0.96024,998.2,0.99513,1.6,0.052911
0.00015598,684.2,0.032544,0,-0.43486,0.28664,-0.056155,-0.040059,0.0065253,267.52,-0.94437,998.9,0.99905,1.6,0.052315
0.00020039,1028.1,0.042652,0,-0.35992,0.23922,-0.063991,-0.04819,0.0089514,404.77,-0.41447,1176.8,0.87858,1.6,0.068563
0.00019634,1001.6,0.041972,0,-0.36551,0.2423,-0.063377,-0.047513,0.0082965,394.16,-0.45544,1169.2,0.88756,1.6,0.06747
0.00015371,678.33,0.033512,0,-0.42827,0.28434,-0.055039,-0.039382,0.005855,265.33,-0.95286,1005.7,0.98845,1.6,0.053871
0.00017478,855.62,0.039557,0,-0.38487,0.25574,-0.058882,-0.043354,0.0051829,336.09,-0.67962,1119.8,0.91868,1.6,0.063588
0.00016065,753.22,0.037726,0,-0.39851,0.26745,-0.055466,-0.040389,0.0042944,295.4,-0.83675,1069.8,0.9406,1.6,0.060645
0.00019857,1004.3,0.045108,0,-0.33796,0.23301,-0.061038,-0.046479,0.0093817,395.72,-0.44941,1161,0.84327,1.6,0.072511
0.00037572,1017.2,0.055384,0,-0.026704,1.5567,0.55543,0.01061,0.019449,242.4,-1.0414,375.89,0.34293,1.6,0.089031
0.00036324,990.63,0.05593,0,-0.045306,1.5134,0.53008,0.0097288,0.012772,241.38,-1.0453,387.3,0.37283,1.6,0.089908
0.00035167,966.14,0.056225,0,-0.059792,1.4687,0.50572,0.0086828,0.0085108,240.91,-1.0471,399.2,0.39612,1.6,0.090383
0.00032776,915.81,0.056497,0,-0.083359,1.3681,0.45442,0.0062576,0.0036614,240.23,-1.0498,427.54,0.434,1.6,0.090819
0.00015667,687.57,0.032453,0,-0.43546,0.28662,-0.056404,-0.040244,0.0066086,268.84,-0.93927,999.35,1,1.6,0.052169
0.00031373,885.98,0.056568,0,-0.095525,1.3067,0.42408,0.0046707,0.001647,239.7,-1.0518,445.4,0.45356,1.6,0.090934
0.00027552,805.28,0.056546,0,-0.12179,1.1275,0.34161,0.00036393,-0.0018592,237.26,-1.0612,503.01,0.49578,1.6,0.090898
0.00026129,775.02,0.056483,0,-0.13072,1.0565,0.3107,-0.0013867,-0.002844,236.04,-1.0659,526.91,0.51014,1.6,0.090797
0.00021584,682.43,0.056087,0,-0.15742,0.7921,0.21016,-0.0071327,-0.0043682,231.68,-1.0827,627.82,0.55305,1.6,0.09016
0.00020456,660.54,0.055938,0,-0.16441,0.71597,0.18407,-0.00881,-0.0044205,230.86,-1.0859,658.29,0.56429,1.6,0.089921
0.00017043,606.64,0.055207,0,-0.19033,0.41973,0.097733,-0.014824,-0.0031519,230.78,-1.0862,791.24,0.60595,1.6,0.088746
0.00016416,598.51,0.055004,0,-0.19627,0.35563,0.080282,-0.016229,-0.0027088,231.09,-1.085,820.5,0.6155,1.6,0.088419
0.00014657,586.4,0.053987,0,-0.22131,0.1528,0.024606,-0.02115,-0.00080674,232.87,-1.0782,926.64,0.65576,1.6,0.086784
0.00014319,582.3,0.053736,0,-0.22668,0.1264,0.0148,-0.022034,-0.00054274,231.88,-1.082,943.5,0.66439,1.6,0.086381
0.00013196,562.07,0.052449,0,-0.25082,0.14219,-0.013775,-0.024517,-6.1294e-05,223.55,-1.1141,987.26,0.7032,1.6,0.084313
0.00013049,559.73,0.052151,0,-0.25576,0.15315,-0.018069,-0.024976,5.8461e-05,222.42,-1.1185,992.98,0.71114,1.6,0.083833
0.0001313,578.82,0.050582,0,-0.27866,0.20301,-0.031211,-0.027502,0.0010263,228.87,-1.0936,1015.5,0.74795,1.6,0.081311
0.0001337,593.85,0.05025,0,-0.28302,0.21002,-0.033625,-0.028411,0.0014201,234.64,-1.0714,1022.4,0.75496,1.6,0.080777
0.00015882,747.66,0.048402,0,-0.30493,0.22737,-0.045929,-0.035481,0.0047896,294.79,-0.8391,1080.5,0.79018,1.6,0.077806
0.00015201,690.34,0.036395,0,-0.40831,0.27516,-0.053388,-0.038562,0.0041494,270.4,-0.93325,1036.3,0.95636,1.6,0.058505
0.0001641,779.03,0.048098,0,-0.30829,0.22844,-0.047857,-0.036898,0.0053972,307.13,-0.79147,1090.2,0.79557,1.6,0.077317
0.00019756,995.24,0.045681,0,-0.33279,0.23161,-0.060182,-0.045928,0.0093999,392.2,-0.463,1156.4,0.83496,1.6,0.073432
0.00019846,1001.2,0.045591,0,-0.33366,0.23176,-0.06053,-0.046197,0.009494,394.56,-0.45388,1158.2,0.83636,1.6,0.073288
0.00082905,2006.6,0.0031848,0,0.18662,0.17615,0.0092312,0.028863,0.16533,795.15,1.0928,558.74,0,1.6,0.0051196
0.00081934,1987.7,0.0044535,0,0.18651,0.24217,0.027426,0.028328,0.22428,781.33,1.0394,555.51,0.00018607,1.6,0.0071591
0.00056493,1479.9,0.022578,0,0.17655,1.1613,0.51674,0.019697,0.43693,429.28,-0.31983,443.02,0.016197,1.6,0.036294
0.00053557,1399,0.023282,0,0.17572,1.1366,0.49797,0.018595,0.38699,410.95,-0.39061,447.02,0.017533,1.6,0.037426
0.00071073,1822.2,0.016376,0,0.18211,0.95801,0.40043,0.02448,0.60445,579.83,0.26141,475.12,0.0072587,1.6,0.026324
0.00070239,1814,0.017292,0,0.18151,1.0284,0.44424,0.024285,0.6199,559.81,0.18414,464.33,0.0082172,1.6,0.027797
0.0006855,1781.2,0.018261,0,0.18075,1.0874,0.48179,0.023824,0.60901,535.54,0.090431,454.88,0.00944,1.6,0.029354
0.00073891,1851.4,0.01318,0,0.18396,0.72419,0.25911,0.025061,0.53157,645.75,0.51594,509.14,0.0042894,1.6,0.021187
0.00073107,1843.7,0.014121,0,0.18345,0.79208,0.29942,0.024893,0.55671,627.03,0.44365,499.55,0.0051056,1.6,0.0227
0.00074909,1866.4,0.012174,0,0.1844,0.6594,0.2225,0.025396,0.50107,665.2,0.59103,517.21,0.0035814,1.6,0.01957
0.00078963,1934.6,0.0084627,0,0.18576,0.44014,0.10317,0.02673,0.38188,734.01,0.85672,541.55,0.0013857,1.6,0.013604
0.000776,1910.5,0.0096701,0,0.18536,0.50853,0.13957,0.026258,0.42184,712.08,0.77204,534.46,0.0020348,1.6,0.015545
0.00063979,1678.1,0.020374,0,0.1789,1.176,0.5345,0.022458,0.55767,484.1,-0.1082,440.65,0.012409,1.6,0.032751
0.00060906,1601.6,0.021522,0,0.17779,1.1988,0.54514,0.021367,0.51201,456.8,-0.21358,436.94,0.014196,1.6,0.034597
0.0008023,1956.5,0.0067343,0,0.18614,0.3563,0.06797,0.027402,0.31793,754.91,0.93741,548.1,0.0007831,1.6,0.010825
0.0007215,1834.2,0.015271,0,0.18283,0.87495,0.34862,0.024669,0.5874,604.17,0.3554,487.85,0.0061028,1.6,0.024548
0.00066739,1747.2,0.019347,0,0.1799,1.1572,0.52577,0.02333,0.59919,508.29,-0.014791,443.7,0.010812,1.6,0.0311
0.00076138,1884.6,0.010966,0,0.18492,0.58191,0.17864,0.025733,0.46471,688.55,0.68119,526.86,0.0027313,1.6,0.017628
0.00081186,1973,0.0054335,0,0.18642,0.29318,0.041477,0.027863,0.26981,770.67,0.99825,553.03,0.00032972,1.6,0.0087344
0.00083911,2028.1,0.001534,0,0.18662,0.11838,-0.0016633,0.02954,0.11001,807.71,1.1413,560.78,-6.7763e-21,1.6,0.0024659
0.00084397,2039,0.00063636,0,0.18659,0.093614,-0.0045673,0.029904,0.084974,813.26,1.1627,561.38,5.7212e-05,1.6,0.001023
0.00084742,2046.7,1.855e-11,0,0.18656,0.075983,-0.0066248,0.030131,0.067231,817.21,1.1779,561.81,9.7816e-05,1.6,5.421e-20
0.00052236,1366.8,0.023943,0,0.17479,1.1533,0.50226,0.017987,0.36596,398.49,-0.43873,444.32,0.019021,1.6,0.038489
0.00047885,1262.1,0.027327,0,0.16937,1.2212,0.52181,0.015735,0.28868,356.15,-0.60218,433.29,0.027736,1.6,0.043929
0.00047275,1247.4,0.02806,0,0.16802,1.2313,0.52494,0.015383,0.27508,350.26,-0.62493,431.64,0.029903,1.6,0.045106
0.00047008,1241.1,0.028664,0,0.16683,1.237,0.52769,0.015281,0.26686,347.53,-0.63547,430.7,0.031822,1.6,0.046077
0.00046604,1231.5,0.029623,0,0.16487,1.2451,0.53166,0.01515,0.25396,343.49,-0.65107,429.38,0.034964,1.6,0.04762
0.00046386,1226.2,0.030181,0,0.1637,1.2489,0.53365,0.015062,0.24655,341.39,-0.65917,428.77,0.036848,1.6,0.048516
0.00050166,1316.5,0.02498,0,0.17334,1.1799,0.50913,0.016941,0.33307,378.9,-0.51437,440.02,0.021356,1.6,0.040155
0.00049129,1291.9,0.026001,0,0.17166,1.1992,0.51508,0.016387,0.31368,368.45,-0.5547,436.86,0.024051,1.6,0.041797
0.00046257,1223.3,0.030715,0,0.16251,1.253,0.5364,0.015096,0.23997,339.91,-0.66488,428.1,0.038761,1.6,0.049374
0.00048373,1273.9,0.026746,0,0.17044,1.2134,0.51942,0.015966,0.29955,360.83,-0.58413,434.56,0.026015,1.6,0.042994
0.00046782,1235.7,0.029161,0,0.16584,1.2418,0.52993,0.015167,0.26008,345.22,-0.64437,429.92,0.033403,1.6,0.046877
0.00046147,1220.9,0.031158,0,0.16152,1.2565,0.53869,0.0151,0.2345,338.65,-0.66975,427.53,0.040349,1.6,0.050086
0.00046043,1218.8,0.031593,0,0.16049,1.2616,0.5414,0.015167,0.22928,337.22,-0.67526,426.69,0.042006,1.6,0.050786
0.00045915,1216.2,0.032118,0,0.15925,1.2678,0.54467,0.015167,0.223,335.49,-0.68194,425.68,0.044004,1.6,0.05163
0.00045716,1212.2,0.032628,0,0.15796,1.2776,0.54797,0.01519,0.21699,332.79,-0.69239,424.08,0.046073,1.6,0.05245
