"Density","Energy","Grid_Velocity:0","Grid_Velocity:1","Grid_Velocity:2","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","Points:0","Points:1","Points:2"
0.00063323,1647,0.010089,0,0.11207,1.0977,0.51301,0.022213,0.51234,492.61,-0.075331,453.21,0.013269,1.6,0.025814
0.0008162,1983.7,0.00064162,0,0.11702,0.29296,0.049097,0.028073,0.26798,774.03,1.0112,552.42,0.00059184,1.6,0.0016416
0.00074121,1869.8,0.0060662,0,0.11511,0.7983,0.31312,0.025364,0.56658,634.66,0.47311,498.83,0.0054881,1.6,0.015521
0.00068886,1784.9,0.0086826,0,0.11335,1.0616,0.48837,0.024071,0.59227,542.69,0.11802,458.96,0.0099941,1.6,0.022215
0.00077763,1914.1,0.0033223,0,0.11634,0.51203,0.14861,0.026406,0.42521,713.3,0.77673,534.39,0.0023305,1.6,0.0085003
0.00082324,1996.5,-1.4401e-12,0,0.11714,0.2457,0.03141,0.028444,0.22923,785.03,1.0537,555.52,0.0002883,1.6,-5.421e-20
0.0005521,1429.2,0.011667,0,0.11023,1.0533,0.4823,0.019018,0.37441,436.26,-0.29288,460.28,0.017972,1.6,0.029851
0.00051209,1332.8,0.013897,0,0.10689,1.1038,0.50628,0.016904,0.3007,397.51,-0.44249,452.23,0.026517,1.6,0.035556
0.00050705,1320.4,0.014383,0,0.10606,1.1094,0.5101,0.016608,0.28758,392.81,-0.46065,451.33,0.028647,1.6,0.0368
0.00050568,1317.3,0.014785,0,0.10532,1.1123,0.51383,0.016573,0.27997,391.35,-0.46629,450.87,0.030535,1.6,0.037829
0.00050349,1312.3,0.015426,0,0.10411,1.1177,0.51978,0.016552,0.26823,388.91,-0.47572,450,0.033628,1.6,0.039467
0.00050227,1309.6,0.015798,0,0.10339,1.1211,0.52321,0.01652,0.2616,387.48,-0.48121,449.44,0.035484,1.6,0.040421
0.00053258,1381.9,0.012347,0,0.10934,1.0751,0.49152,0.018003,0.34349,417.61,-0.36491,456.81,0.020255,1.6,0.031589
0.00052306,1359.2,0.01302,0,0.1083,1.0892,0.49833,0.017478,0.32481,408.15,-0.40141,454.57,0.022898,1.6,0.033312
0.00050074,1306.6,0.016157,0,0.10265,1.1277,0.52716,0.01658,0.25563,385.4,-0.48927,448.39,0.03737,1.6,0.041337
0.00051612,1342.6,0.013511,0,0.10755,1.0994,0.50331,0.017087,0.31119,401.25,-0.42807,452.92,0.024825,1.6,0.034569
0.00050449,1314.5,0.015117,0,0.10471,1.1147,0.51686,0.01652,0.2737,390.1,-0.47112,450.48,0.03209,1.6,0.038677
0.00049945,1304,0.016454,0,0.10204,1.1332,0.53045,0.016602,0.25067,383.64,-0.49605,447.5,0.038935,1.6,0.042097
0.00049711,1299.1,0.016747,0,0.1014,1.1425,0.53383,0.016665,0.24574,380.57,-0.50791,446,0.04057,1.6,0.042848
0.00049428,1293.3,0.017101,0,0.10063,1.1537,0.53791,0.016667,0.2398,376.86,-0.52222,444.19,0.042541,1.6,0.043753
0.00049031,1285,0.017446,0,0.099829,1.1694,0.54195,0.016698,0.23407,371.72,-0.54209,441.65,0.044584,1.6,0.044636
0.00048686,1277.9,0.01775,0,0.099127,1.1831,0.54555,0.016688,0.22906,367.22,-0.55944,439.43,0.04638,1.6,0.045413
0.00048021,1263.5,0.018152,0,0.098134,1.2061,0.5495,0.016477,0.22096,359.16,-0.59058,435.69,0.048921,1.6,0.046443
0.0004763,1255,0.018386,0,0.097559,1.2192,0.55168,0.016321,0.21621,354.46,-0.60872,433.56,0.050392,1.6,0.047041
0.00047457,1251.1,0.018473,0,0.097331,1.2244,0.55216,0.016158,0.21418,352.49,-0.61631,432.71,0.050976,1.6,0.047264
0.00046309,1224.9,0.019015,0,0.0959,1.2558,0.55406,0.01523,0.20076,339.89,-0.66495,427.6,0.054637,1.6,0.048649
0.00045303,1203.1,0.019667,0,0.094028,1.2934,0.55837,0.014774,0.18864,327.76,-0.71182,421.46,0.059425,1.6,0.050319
0.00045098,1198.6,0.019799,0,0.093649,1.301,0.55924,0.014665,0.18618,325.29,-0.72134,420.21,0.060397,1.6,0.050657
0.00044854,1192.9,0.019943,0,0.093196,1.3073,0.55907,0.014603,0.18296,322.75,-0.73113,419.18,0.061556,1.6,0.051026
0.00043847,1169.4,0.020544,0,0.091307,1.3336,0.55851,0.014003,0.16962,312.25,-0.77167,414.88,0.066389,1.6,0.052563
0.00043118,1151.9,0.02113,0,0.089294,1.3504,0.55713,0.013757,0.15845,305.02,-0.79958,412.12,0.071538,1.6,0.054062
0.00042906,1146.8,0.021299,0,0.088715,1.3552,0.55669,0.013654,0.15522,302.94,-0.80764,411.33,0.07302,1.6,0.054493
0.00042776,1143.7,0.021479,0,0.088045,1.3584,0.55658,0.013596,0.15261,301.63,-0.81267,410.8,0.074735,1.6,0.054954
0.00042343,1133.3,0.022075,0,0.085822,1.3691,0.55626,0.013154,0.14399,297.28,-0.82947,409.03,0.080421,1.6,0.05648
0.00042093,1127.2,0.022563,0,0.083865,1.3743,0.55602,0.012726,0.13741,294.92,-0.83859,408.18,0.085429,1.6,0.057729
0.00041931,1123.2,0.022852,0,0.082709,1.3772,0.55566,0.012456,0.13343,293.43,-0.84433,407.7,0.088386,1.6,0.058468
0.00041808,1120.2,0.02312,0,0.081558,1.379,0.55534,0.012113,0.12985,292.39,-0.84837,407.43,0.091331,1.6,0.059153
0.0004151,1112.7,0.023664,0,0.07921,1.3823,0.55395,0.011165,0.12236,289.95,-0.85777,406.95,0.097338,1.6,0.060544
0.00041402,1110.4,0.024163,0,0.07686,1.3849,0.55432,0.010769,0.11756,288.98,-0.86154,406.63,0.10335,1.6,0.061822
0.00041286,1107.9,0.024698,0,0.074346,1.3877,0.55473,0.010253,0.11243,287.91,-0.86565,406.28,0.10978,1.6,0.063189
0.00041094,1103.5,0.025299,0,0.071238,1.3903,0.55411,0.0099056,0.10647,286.41,-0.87145,406.03,0.11774,1.6,0.064727
0.00040967,1100.7,0.025712,0,0.069102,1.3921,0.55376,0.0095625,0.10239,285.4,-0.87533,405.87,0.1232,1.6,0.065784
0.00040869,1098.5,0.026113,0,0.066839,1.3935,0.55344,0.009374,0.099253,284.63,-0.87832,405.74,0.12899,1.6,0.066811
0.00040708,1094.9,0.026763,0,0.063174,1.3959,0.55293,0.0089907,0.094183,283.36,-0.88323,405.52,0.13837,1.6,0.068475
0.00040484,1089.3,0.027672,0,0.057596,1.4001,0.55218,0.0086874,0.086899,281.32,-0.89111,404.83,0.15264,1.6,0.0708
0.00040434,1088.1,0.027851,0,0.056501,1.4009,0.55196,0.0086165,0.085452,280.89,-0.89276,404.71,0.15544,1.6,0.071258
0.00040424,1087.8,0.02792,0,0.056041,1.4014,0.55204,0.0086157,0.084896,280.73,-0.89339,404.58,0.15662,1.6,0.071433
0.00040205,1081.3,0.028936,0,0.049164,1.4097,0.55221,0.0084366,0.076335,277.88,-0.90439,402.66,0.17421,1.6,0.074034
0.00040364,1083.6,0.029989,0,0.041121,1.4232,0.55816,0.0087027,0.070359,276.57,-0.90943,399.19,0.19479,1.6,0.076729
0.00040414,1084.3,0.030325,0,0.038556,1.4276,0.56005,0.0087776,0.068451,276.15,-0.91106,398.09,0.20135,1.6,0.077588
0.00040506,1085.7,0.030704,0,0.035238,1.434,0.56292,0.0089709,0.066237,275.6,-0.9132,396.39,0.20984,1.6,0.078558
0.00040756,1089.5,0.031664,0,0.026841,1.4504,0.57047,0.0094568,0.060669,274.27,-0.91834,392.05,0.23133,1.6,0.081012
0.00041061,1094.7,0.032547,0,0.01788,1.467,0.57861,0.010084,0.055727,273.25,-0.92227,387.72,0.25425,1.6,0.083273
0.00041254,1098,0.033141,0,0.011918,1.4778,0.58385,0.010498,0.052544,272.54,-0.92499,384.88,0.26951,1.6,0.084793
